gyroscope.txt

All values are in radians/second. Factory calibration and temperature compensation are still applied to the rate of rotation (angular speeds).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-drift-x estimated-drift-y estimated-drift-z
0.450 0.436 0.09942627 0.16506958 0.048721313 0.0326233 0.006210327 -0.0043640137
0.470 0.456 0.03868103 0.17720032 0.015716553 0.0326233 0.006210327 -0.0043640137
0.501 0.476 0.017105103 0.17416382 -0.016082764 0.0326233 0.006210327 -0.0043640137
0.513 0.496 0.04815674 0.14994812 -0.022369385 0.0326233 0.006210327 -0.0043640137
0.529 0.516 0.10612488 0.14424133 0.0019378662 0.0326233 0.006210327 -0.0043640137
0.548 0.536 0.15731812 0.17086792 0.015350342 0.0326233 0.006210327 -0.0043640137
0.570 0.556 0.17544556 0.19903564 -0.0018310547 0.0326233 0.006210327 -0.0043640137
0.590 0.577 0.15713501 0.18029785 -0.019378662 0.0326233 0.006210327 -0.0043640137
0.607 0.597 0.14006042 0.19017029 -0.011260986 0.0326233 0.006210327 -0.0043640137
0.630 0.617 0.17414856 0.2313385 0.014694214 0.0326233 0.006210327 -0.0043640137
0.647 0.637 0.2306366 0.24430847 0.039154053 0.0326233 0.006210327 -0.0043640137
0.668 0.657 0.24780273 0.23612976 0.055114746 0.0326233 0.006210327 -0.0043640137
0.689 0.677 0.2238617 0.23039246 0.07254028 0.0326233 0.006210327 -0.0043640137
0.709 0.697 0.16099548 0.21669006 0.09446716 0.0326233 0.006210327 -0.0043640137
0.729 0.718 0.110305786 0.21903992 0.11099243 0.0326233 0.006210327 -0.0043640137
0.748 0.738 0.061676025 0.20970154 0.10990906 0.0326233 0.006210327 -0.0043640137
0.768 0.758 0.04319763 0.2188263 0.10194397 0.0326233 0.006210327 -0.0043640137
0.789 0.778 0.073654175 0.21730042 0.11683655 0.0326233 0.006210327 -0.0043640137
0.809 0.798 0.13095093 0.24636841 0.14524841 0.0326233 0.006210327 -0.0043640137
0.829 0.818 0.16874695 0.23175049 0.15055847 0.0326233 0.006210327 -0.0043640137
0.847 0.838 0.1688385 0.200531 0.138031 0.0326233 0.006210327 -0.0043640137
0.870 0.859 0.14250183 0.22019958 0.12986755 0.0326233 0.006210327 -0.0043640137
0.892 0.879 0.14710999 0.19116211 0.110672 0.0326233 0.006210327 -0.0043640137
0.908 0.899 0.1630249 0.20166016 0.0771637 0.0326233 0.006210327 -0.0043640137
0.929 0.919 0.1884613 0.25328064 0.05731201 0.0326233 0.006210327 -0.0043640137
0.948 0.939 0.19189453 0.22698975 0.109939575 0.0326233 0.006210327 -0.0043640137
0.967 0.959 0.18135071 0.28459167 0.1512146 0.0326233 0.006210327 -0.0043640137
0.990 0.979 0.15357971 0.23440552 0.17103577 0.0326233 0.006210327 -0.0043640137
1.007 1.000 0.122299194 0.22026062 0.17692566 0.0326233 0.006210327 -0.0043640137
1.028 1.020 0.14146423 0.26341248 0.17237854 0.0326233 0.006210327 -0.0043640137
1.048 1.040 0.171875 0.33927917 0.12528992 0.0326233 0.006210327 -0.0043640137
1.068 1.060 0.14694214 0.33898926 0.032058716 0.0326233 0.006210327 -0.0043640137
1.090 1.080 0.08703613 0.27278137 -0.0011444092 0.0326233 0.006210327 -0.0043640137
1.109 1.100 0.025039673 0.2077179 0.011306763 0.0326233 0.006210327 -0.0043640137
1.127 1.120 -0.03466797 0.18305969 0.008880615 0.0326233 0.006210327 -0.0043640137
1.147 1.141 -0.06442261 0.17240906 0.0075683594 0.0326233 0.006210327 -0.0043640137
1.169 1.161 -0.0025787354 0.198349 0.0066833496 0.0326233 0.006210327 -0.0043640137
1.189 1.181 0.111831665 0.21124268 0.039276123 0.0326233 0.006210327 -0.0043640137
1.208 1.201 0.16633606 0.18754578 0.059753418 0.0326233 0.006210327 -0.0043640137
1.229 1.221 0.1647644 0.20655823 0.040985107 0.0326233 0.006210327 -0.0043640137
1.248 1.241 0.14855957 0.18600464 0.0093688965 0.0326233 0.006210327 -0.0043640137
1.268 1.261 0.045578003 0.2587433 -0.026916504 0.0326233 0.006210327 -0.0043640137
1.289 1.282 -0.08955383 0.2604828 -0.048828125 0.0326233 0.006210327 -0.0043640137
1.308 1.302 -0.1240387 0.2565918 -0.036621094 0.0326233 0.006210327 -0.0043640137
1.327 1.322 -0.09454346 0.23963928 -0.0077056885 0.0326233 0.006210327 -0.0043640137
1.348 1.342 -0.0975647 0.26145935 -0.0052490234 0.0326233 0.006210327 -0.0043640137
1.372 1.362 -0.048233032 0.31367493 -0.002243042 0.0326233 0.006210327 -0.0043640137
1.388 1.382 -0.05987549 0.23945618 0.0070495605 0.0326233 0.006210327 -0.0043640137
1.408 1.402 -0.01979065 0.21495056 0.020568848 0.0326233 0.006210327 -0.0043640137
1.427 1.423 0.024169922 0.29478455 0.046142578 0.0326233 0.006210327 -0.0043640137
1.446 1.443 0.024734497 0.25335693 0.047088623 0.0326233 0.006210327 -0.0043640137
1.467 1.463 0.033935547 0.2951355 0.061462402 0.0326233 0.006210327 -0.0043640137
1.488 1.483 0.07867432 0.209198 0.12966919 0.0326233 0.006210327 -0.0043640137
1.507 1.503 0.14422607 0.239151 0.20506287 0.0326233 0.006210327 -0.0043640137
1.528 1.523 0.11161804 0.12207031 0.28538513 0.0326233 0.006210327 -0.0043640137
1.567 1.543 0.049545288 0.26208496 0.27651978 0.0326233 0.006210327 -0.0043640137
1.589 1.564 0.06652832 0.4217224 0.19117737 0.0326233 0.006210327 -0.0043640137
1.607 1.584 0.030166626 0.15977478 0.0977478 0.0326233 0.006210327 -0.0043640137
1.627 1.604 0.04055786 0.43572998 -0.021240234 0.0326233 0.006210327 -0.0043640137
1.648 1.624 0.06555176 0.5008545 -0.044128418 0.0326233 0.006210327 -0.0043640137
1.672 1.644 0.15841675 0.37564087 -0.02947998 0.0326233 0.006210327 -0.0043640137
1.688 1.664 0.28759766 0.33389282 0.0357666 0.0326233 0.006210327 -0.0043640137
1.706 1.684 0.2565918 0.20391846 0.1348114 0.0326233 0.006210327 -0.0043640137
1.727 1.705 0.20401001 0.27850342 0.22242737 0.0326233 0.006210327 -0.0043640137
1.747 1.725 0.17782593 0.42018127 0.34558105 0.0326233 0.006210327 -0.0043640137
1.767 1.745 0.22544861 0.40403748 0.38874817 0.0326233 0.006210327 -0.0043640137
1.788 1.765 0.23440552 0.31330872 0.3636322 0.0326233 0.006210327 -0.0043640137
1.807 1.785 0.009841919 0.32981873 0.30336 0.0326233 0.006210327 -0.0043640137
1.828 1.805 -0.33781433 0.4350586 0.2056427 0.0326233 0.006210327 -0.0043640137
1.847 1.825 -0.46617126 0.5209198 0.17694092 0.0326233 0.006210327 -0.0043640137
1.866 1.846 -0.2675171 0.4880829 0.16304016 0.0326233 0.006210327 -0.0043640137
1.888 1.866 0.03694153 0.48641968 0.1990509 0.0326233 0.006210327 -0.0043640137
1.907 1.886 0.16184998 0.4756317 0.23878479 0.0326233 0.006210327 -0.0043640137
1.927 1.906 0.14889526 0.4591217 0.20956421 0.0326233 0.006210327 -0.0043640137
1.945 1.926 0.10441589 0.43441772 0.12890625 0.0326233 0.006210327 -0.0043640137
1.967 1.946 0.11366272 0.46263123 0.051635742 0.0326233 0.006210327 -0.0043640137
1.986 1.966 0.1777649 0.44625854 0.011581421 0.0326233 0.006210327 -0.0043640137
2.006 1.987 0.24127197 0.3738556 -0.014633179 0.0326233 0.006210327 -0.0043640137
2.025 2.007 0.2896881 0.36650085 -0.008117676 0.0326233 0.006210327 -0.0043640137
2.045 2.027 0.2983551 0.38848877 0.02746582 0.0326233 0.006210327 -0.0043640137
2.066 2.047 0.26286316 0.33216858 0.082977295 0.0326233 0.006210327 -0.0043640137
2.085 2.067 0.22590637 0.27830505 0.13265991 0.0326233 0.006210327 -0.0043640137
2.105 2.087 0.1761322 0.29066467 0.17881775 0.0326233 0.006210327 -0.0043640137
2.126 2.107 0.14738464 0.35684204 0.15371704 0.0326233 0.006210327 -0.0043640137
2.145 2.128 0.12930298 0.39735413 0.13470459 0.0326233 0.006210327 -0.0043640137
2.165 2.148 0.10481262 0.38505554 0.11651611 0.0326233 0.006210327 -0.0043640137
2.185 2.168 0.108795166 0.36766052 0.13804626 0.0326233 0.006210327 -0.0043640137
2.205 2.188 0.11314392 0.29278564 0.2146759 0.0326233 0.006210327 -0.0043640137
2.225 2.208 0.08885193 0.25065613 0.28274536 0.0326233 0.006210327 -0.0043640137
2.247 2.228 0.04219055 0.24482727 0.2781372 0.0326233 0.006210327 -0.0043640137
2.265 2.248 -0.028915405 0.32099915 0.1581726 0.0326233 0.006210327 -0.0043640137
2.286 2.269 -0.071777344 0.42977905 -0.035827637 0.0326233 0.006210327 -0.0043640137
