accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.399 0.379 1.6034393 4.88916 8.037369
0.420 0.399 1.629425 4.91362 8.209244
0.438 0.419 1.7142487 4.9704437 8.174149
0.457 0.439 1.7453918 4.9320984 8.159561
0.476 0.459 1.7501984 4.9265747 8.337326
0.498 0.479 1.8991241 4.9995117 8.420486
0.523 0.499 1.8849335 5.0830383 8.079163
0.539 0.520 1.7576599 5.039139 7.756027
0.592 0.540 1.7168427 4.9669647 7.8361206
0.592 0.560 1.6584015 4.8517914 8.15538
0.601 0.580 1.5387726 4.703018 8.414581
0.620 0.600 1.4400635 4.6252594 8.23967
0.635 0.620 1.4009552 4.6699677 7.8972015
0.656 0.640 1.3835297 4.728882 7.724411
0.675 0.661 1.4749451 4.753372 7.7589874
0.696 0.681 1.5090485 4.7159424 7.823715
0.716 0.701 1.5254974 4.7493896 7.8642426
0.735 0.721 1.6373596 4.90123 7.908951
0.755 0.741 1.8022766 4.9924316 7.9392853
0.776 0.761 1.9252625 5.031616 7.9718933
0.795 0.781 2.0896454 5.154663 8.332886
0.815 0.802 2.172409 5.2559967 8.16539
0.836 0.822 2.1710663 5.338852 7.704773
0.856 0.842 2.2484894 5.4238434 7.9549103
0.875 0.862 2.3546753 5.529312 8.236984
0.895 0.882 2.2961426 5.515457 8.309784
0.917 0.902 2.1243896 5.3605194 8.435898
0.937 0.922 2.0130615 5.309067 8.395203
0.955 0.943 1.8422394 5.2160797 8.287735
0.975 0.963 1.7486877 5.1751556 8.264664
0.995 0.983 1.8267365 5.2977753 8.3428955
1.015 1.003 1.9324341 5.39386 8.366486
1.035 1.023 1.9143066 5.403305 8.176315
1.055 1.043 1.8368225 5.3639526 8.230072
1.075 1.063 1.8320618 5.332062 8.545502
1.095 1.084 1.6725616 5.2000275 8.54538
1.114 1.104 1.5618439 5.076645 8.168884
1.135 1.124 1.6310272 5.122284 7.9690247
1.154 1.144 1.7561493 5.1829224 7.9585876
1.174 1.164 1.7288208 5.1490326 7.8498383
1.194 1.184 1.6060181 5.0175934 7.7763214
1.215 1.204 1.5608063 4.9610443 7.8139496
1.234 1.225 1.6003113 4.9775543 7.8796234
1.254 1.245 1.6549225 5.065323 7.8185425
1.274 1.265 1.7501373 5.1671295 7.5872955
1.298 1.285 1.7415009 5.26326 7.483612
1.315 1.305 1.6422882 5.210739 7.632599
1.335 1.325 1.6192169 5.148102 7.507431
1.354 1.345 1.6697235 5.3311462 7.4319763
1.375 1.365 1.72435 5.5698395 7.5242157
1.394 1.386 1.8007202 5.5996246 7.8392944
1.414 1.406 1.7313995 5.55748 7.8555603
1.435 1.426 1.6732025 5.4900513 8.014877
1.454 1.446 1.564209 5.3432007 8.2079315
1.474 1.466 1.498703 5.2053375 8.293121
1.494 1.486 1.3562012 5.2434387 7.916992
1.514 1.506 1.1795349 5.3193054 7.327759
1.534 1.527 1.0224609 5.404541 7.052017
1.553 1.547 0.78356934 5.409668 7.225418
1.574 1.567 0.8087311 5.2887115 7.536743
1.594 1.587 1.0196533 5.4734497 8.1875305
1.614 1.607 0.9185028 5.4318542 8.456604
1.633 1.627 0.83691406 5.397537 8.130707
1.654 1.647 0.7421417 5.6504364 7.505127
1.675 1.668 0.76142883 5.708954 7.414673
1.694 1.688 0.7816925 5.7727203 7.7001953
1.713 1.708 0.58444214 5.855179 7.6368256
1.733 1.728 0.45043945 5.815338 7.5371094
1.755 1.748 0.52978516 5.8722687 7.602295
1.773 1.768 0.74082947 6.118347 7.6674194
1.794 1.788 0.738678 6.137741 7.8361816
1.814 1.809 0.6421356 6.020981 7.9265137
1.833 1.829 0.7557068 6.057419 8.103348
1.854 1.849 0.89453125 6.1503296 8.165405
1.873 1.869 0.96380615 6.1358795 8.215912
1.894 1.889 1.0400391 6.0778503 8.350525
1.914 1.909 1.0800476 5.949295 7.9536743
1.933 1.929 1.1510468 5.772751 8.065216
1.953 1.950 1.1482391 5.86644 8.033524
1.974 1.970 0.94973755 5.7618256 7.7069397
2.013 1.990 0.77897644 5.582428 7.5897675
2.033 2.010 0.6326294 5.550522 7.324066
2.052 2.030 0.7154541 5.662079 7.562149
2.073 2.050 0.7357178 5.7145844 7.8110046
2.092 2.070 0.54270935 5.749954 7.384613
2.113 2.091 0.21699524 5.65152 7.127899
2.132 2.111 0.12496948 5.6645966 7.23497
2.156 2.131 0.3288269 5.8854523 7.5955048
2.172 2.151 0.32305908 5.930496 7.7774353
2.192 2.171 0.34187317 5.963913 7.8641205
2.212 2.191 0.4337921 5.951187 7.6267853
2.232 2.211 0.5293579 6.0242615 7.586624
2.254 2.232 0.7722931 6.072006 7.769806
2.273 2.252 0.7217865 5.9944153 7.776535
2.292 2.272 0.65426636 5.7812805 7.2956696
2.312 2.292 0.8657837 5.922943 6.884598
2.332 2.312 0.65423584 5.7221527 6.869858
2.355 2.332 0.58151245 5.374054 7.657425
2.372 2.352 0.5871277 5.2279205 8.0902405
2.392 2.373 0.6230011 5.284775 7.899521
2.412 2.393 0.9411926 5.2410583 7.5999146
2.432 2.413 1.0053406 5.105377 7.745346
2.455 2.433 1.1912384 5.196274 7.475052
2.472 2.453 1.3197937 5.5457 6.988571
2.492 2.473 1.5348206 5.7764587 6.596878
2.512 2.493 1.2294617 5.7333527 7.012024
2.532 2.514 1.628952 5.3551636 8.38504
2.553 2.534 1.811142 5.5408936 8.943481
2.573 2.554 1.854126 5.5310364 7.92717
2.591 2.574 1.7979126 5.150696 8.539398
2.612 2.594 1.6093445 4.618149 9.710281
2.631 2.614 1.1348724 4.1230927 9.8624115
2.654 2.634 0.6059265 3.9559631 8.817627
2.671 2.655 0.43901062 4.2449493 7.600708
2.693 2.675 0.6077118 4.5897064 7.5032196
2.711 2.695 0.45625305 4.6031036 7.263382
2.731 2.715 0.3453064 4.5765076 6.6990814
2.752 2.735 0.7038574 4.9400177 6.870163
2.771 2.755 1.2451019 5.382248 7.539856
2.791 2.775 1.55336 5.546585 8.026764
2.811 2.796 1.4665527 5.594925 7.846115
2.831 2.816 1.2694244 5.604965 6.9977264
2.851 2.836 1.0179749 5.7293243 6.4121704
2.871 2.856 0.8345337 5.7963715 6.673935
2.891 2.876 0.5359802 5.6790314 7.498947
2.912 2.896 0.22480774 5.6238556 8.359314
2.932 2.916 0.11369324 5.816818 8.756485
2.951 2.937 0.015625 6.048691 8.870209
2.971 2.957 -0.16023254 6.2103424 9.150497
2.990 2.977 -0.3779297 6.337845 9.194916
3.012 2.997 -0.65771484 6.554291 8.887436
3.031 3.017 -0.6472626 6.7408295 9.158585
3.051 3.037 -0.4548645 6.8299866 9.940765
3.071 3.057 -0.39601135 6.7333527 10.640396
3.093 3.078 -0.42526245 6.5417786 10.716782
3.110 3.098 -0.38180542 6.49321 10.02475
3.131 3.118 -0.51638794 6.247757 9.068573
3.154 3.138 -1.241333 5.711914 8.506393
3.171 3.158 -2.1610413 4.9600677 9.101593
3.190 3.178 -2.5440369 4.042221 10.306015
3.210 3.198 -2.0956726 3.4234161 11.495224
3.241 3.219 -1.1731567 3.322174 12.130432
3.252 3.239 -0.4590149 3.4600372 11.105789
3.273 3.259 -0.16949463 3.596283 8.854813
3.292 3.279 0.07997131 3.8851318 7.2683716
3.313 3.299 0.49009705 4.367157 7.0470276
3.331 3.319 1.0040436 4.6811676 7.512207
3.351 3.339 1.4894104 4.8483734 7.5131226
3.374 3.360 1.9334412 5.006241 7.271393
3.395 3.380 2.1758118 5.24263 7.076782
3.413 3.400 1.9994354 5.218796 6.8237305
3.431 3.420 1.4723358 4.8381195 6.6306458
