magnetometer-calibrated.txt

All values are in micro-Tesla (uT).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.394 0.382 -11.950684 -42.637634 -33.31299
0.414 0.402 -11.347961 -41.84265 -34.158325
0.436 0.422 -10.411072 -41.68701 -34.76715
0.455 0.442 -10.22644 -42.240906 -34.405518
0.474 0.463 -10.446167 -42.50183 -34.1156
0.495 0.483 -10.745239 -42.352295 -34.1156
0.536 0.503 -11.129761 -42.163086 -34.1156
0.536 0.523 -11.03363 -41.641235 -33.929443
0.557 0.543 -10.745239 -41.35437 -33.79059
0.574 0.563 -10.647583 -42.634583 -34.27124
0.595 0.583 -10.186768 -42.93213 -33.83789
0.614 0.604 -9.9105835 -42.518616 -33.30078
0.634 0.624 -10.520935 -41.708374 -34.09424
0.655 0.644 -10.206604 -41.288757 -34.701538
0.675 0.664 -9.742737 -41.35437 -34.76715
0.694 0.684 -10.058594 -41.6687 -34.869385
0.716 0.704 -9.414673 -41.853333 -34.93042
0.735 0.724 -8.908081 -41.853333 -34.93042
0.755 0.745 -9.55658 -41.42456 -34.29718
0.778 0.765 -10.339355 -41.61377 -34.15985
0.794 0.785 -10.578918 -41.853333 -34.27887
0.815 0.805 -9.915161 -41.412354 -34.710693
0.835 0.825 -10.783386 -40.423584 -34.822083
0.854 0.845 -11.413574 -40.022278 -34.76715
0.877 0.865 -10.845947 -39.909363 -34.65576
0.896 0.886 -11.141968 -39.744568 -33.395386
0.916 0.906 -11.413574 -39.689636 -32.8125
0.935 0.926 -10.946655 -40.62195 -32.58362
0.956 0.946 -10.861206 -40.907288 -33.04901
0.977 0.966 -10.91156 -40.855408 -33.30078
0.995 0.986 -11.749268 -40.020752 -32.94983
1.016 1.006 -11.607361 -41.107178 -32.580566
1.036 1.027 -11.413574 -41.68701 -32.487488
1.056 1.047 -11.904907 -40.464783 -31.289673
1.077 1.067 -11.959839 -41.111755 -31.211853
1.097 1.087 -11.9140625 -41.52069 -31.34613
1.117 1.107 -11.9140625 -41.271973 -32.08008
1.135 1.127 -12.039185 -40.32135 -31.716919
1.155 1.147 -12.080383 -40.022278 -31.5094
1.181 1.168 -13.752747 -39.382935 -31.884766
1.196 1.188 -14.251709 -39.445496 -31.748962
1.215 1.208 -14.251709 -39.523315 -31.672668
1.235 1.228 -13.725281 -37.42218 -32.443237
1.256 1.248 -14.36615 -36.341858 -32.39441
1.279 1.268 -14.585876 -36.195374 -32.32422
1.294 1.288 -14.990234 -36.331177 -31.929016
1.315 1.309 -14.421082 -36.228943 -32.225037
1.335 1.329 -14.251709 -36.195374 -32.32422
1.355 1.349 -15.632629 -35.3714 -32.86133
1.376 1.369 -15.2404785 -35.333252 -33.90503
1.395 1.389 -15.086365 -35.36377 -34.1156
1.415 1.409 -15.368652 -34.803772 -33.291626
1.438 1.429 -15.283203 -35.11505 -33.81653
1.455 1.450 -15.254211 -35.19745 -33.95233
1.476 1.470 -16.549683 -35.34088 -33.81195
1.496 1.490 -17.042542 -34.79767 -33.79059
1.515 1.510 -17.09137 -34.698486 -33.79059
1.538 1.530 -16.65039 -34.84497 -33.358765
1.571 1.550 -17.027283 -35.009766 -32.30896
1.576 1.570 -17.09137 -35.031128 -32.16095
1.595 1.591 -18.441772 -34.283447 -32.307434
1.616 1.611 -18.891907 -37.153625 -32.32422
1.635 1.631 -18.928528 -37.527466 -32.32422
1.657 1.651 -20.152283 -34.783936 -31.726074
1.676 1.671 -20.263672 -35.73761 -31.082153
1.695 1.691 -20.263672 -35.862732 -31.021118
1.715 1.711 -22.135925 -36.17401 -30.107117
1.736 1.731 -23.191833 -35.88867 -29.141235
1.756 1.752 -23.269653 -35.862732 -29.066467
1.776 1.772 -21.679688 -35.862732 -29.685974
1.796 1.792 -23.016357 -35.707092 -29.257202
1.817 1.812 -23.103333 -35.69641 -29.229736
1.836 1.832 -23.751831 -36.98883 -27.963257
1.856 1.852 -23.61145 -36.549377 -28.393555
1.877 1.872 -23.60382 -36.528015 -28.414917
1.896 1.893 -25.752258 -36.364746 -26.641846
1.917 1.913 -25.775146 -35.713196 -27.575684
1.956 1.933 -25.775146 -35.69641 -27.598572
1.983 1.953 -25.279236 -35.53772 -26.782227
1.983 1.973 -25.938416 -36.523438 -26.461792
2.017 1.993 -25.968933 -36.509705 -26.44043
2.036 2.013 -27.26593 -35.543823 -25.48523
2.056 2.034 -26.776123 -36.029053 -25.645447
2.078 2.054 -26.803589 -35.990906 -25.593567
2.099 2.074 -27.48108 -35.06775 -24.433899
2.116 2.094 -28.279114 -35.862732 -26.460266
2.137 2.114 -28.213501 -35.816956 -26.394653
2.158 2.134 -27.15149 -35.05249 -25.279236
2.178 2.154 -27.778625 -35.36377 -24.668884
2.196 2.175 -27.82898 -35.414124 -24.668884
2.217 2.195 -28.302002 -35.806274 -24.809265
2.236 2.215 -26.609802 -33.200073 -26.460266
2.256 2.235 -26.579285 -33.232117 -26.307678
2.279 2.255 -26.358032 -33.45337 -24.87793
2.296 2.275 -27.11029 -32.70111 -25.320435
2.320 2.295 -27.166748 -32.720947 -25.37384
2.337 2.316 -27.476501 -32.810974 -25.827026
2.356 2.336 -26.441956 -32.36847 -25.971985
2.378 2.356 -26.248169 -32.261658 -26.07727
2.396 2.376 -24.984741 -31.492615 -26.828003
2.416 2.396 -25.273132 -31.202698 -27.111816
2.436 2.416 -25.273132 -31.202698 -27.111816
2.457 2.436 -25.39978 -30.976868 -27.13623
2.476 2.457 -26.107788 -29.70581 -27.275085
2.498 2.477 -26.219177 -29.762268 -27.328491
2.516 2.497 -26.437378 -30.09491 -27.764893
2.536 2.517 -24.772644 -30.371094 -28.578186
2.556 2.537 -24.865723 -29.97284 -28.607178
2.577 2.557 -25.367737 -27.928162 -28.890991
2.598 2.577 -25.775146 -26.71051 -29.554749
2.617 2.598 -25.810242 -26.609802 -29.455566
2.637 2.618 -26.045227 -25.97351 -28.96576
2.656 2.638 -26.441956 -25.045776 -28.578186
2.677 2.658 -26.516724 -24.972534 -28.93982
2.697 2.678 -26.92566 -24.342346 -30.059814
2.717 2.698 -27.444458 -23.049927 -29.554749
2.736 2.718 -27.404785 -23.251343 -29.672241
2.757 2.739 -27.43988 -23.478699 -30.04303
2.777 2.759 -27.944946 -22.216797 -30.04303
2.796 2.779 -28.076172 -21.916199 -30.253601
2.817 2.799 -28.752136 -21.009827 -30.984497
2.836 2.819 -29.615784 -20.88623 -31.34613
2.858 2.839 -29.570007 -20.56427 -31.1203
2.878 2.859 -29.447937 -19.537354 -31.256104
2.897 2.880 -29.447937 -19.055176 -33.139038
2.917 2.900 -29.447937 -19.25354 -32.56073
2.938 2.920 -29.447937 -19.329834 -31.278992
2.956 2.940 -29.447937 -18.389893 -31.5094
