gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.462 0.447 -0.037582397 0.089263916 -0.01876831
0.487 0.467 -0.041641235 0.08319092 -0.03416443
0.508 0.487 0.008651733 0.099121094 -0.034820557
0.554 0.508 0.030029297 0.08270264 -0.02067566
0.554 0.528 -0.020355225 0.039993286 -0.011444092
0.562 0.548 -0.06719971 0.033737183 -0.016845703
0.580 0.568 -0.039520264 0.0864563 -0.0368042
0.600 0.588 0.008621216 0.13265991 -0.039733887
0.620 0.608 0.019882202 0.11077881 -0.0093688965
0.639 0.628 -0.0067749023 0.0466156 0.02671814
0.660 0.649 -0.02633667 0.01651001 0.042099
0.680 0.669 -0.015487671 0.020553589 0.045806885
0.699 0.689 -0.0070343018 0.016021729 0.047180176
0.720 0.709 -0.01776123 0.019592285 0.05026245
0.739 0.729 -0.04437256 0.029968262 0.054397583
0.760 0.749 -0.0357666 0.021331787 0.04423523
0.782 0.769 0.0014190674 -0.0055999756 0.011184692
0.800 0.790 0.015350342 -0.021011353 -0.017807007
0.820 0.810 0.009902954 -0.005203247 -0.018218994
0.842 0.830 0.018066406 0.021728516 -0.0032958984
0.865 0.850 0.019897461 0.016983032 7.4768066E-4
0.881 0.870 0.006515503 -0.007217407 -1.9836426E-4
0.901 0.890 0.01663208 -0.025222778 -0.0118255615
0.921 0.910 0.037109375 -0.03286743 -0.026504517
0.941 0.931 0.020507813 -0.018814087 -0.0231781
0.961 0.951 0.0046691895 0.0011138916 0.0069885254
0.982 0.971 0.017410278 0.019485474 0.024337769
1.000 0.991 0.013824463 0.01512146 0.009490967
1.021 1.011 -0.008056641 -7.6293945E-5 0.016708374
1.041 1.031 -0.01789856 0.0069732666 0.05267334
1.062 1.051 -0.012786865 0.025344849 0.07078552
1.082 1.072 -0.008621216 0.016723633 0.055541992
1.101 1.092 -0.013061523 0.008285522 0.029571533
1.120 1.112 -0.022125244 0.015090942 0.026031494
1.141 1.132 -0.02279663 0.007980347 0.034606934
1.161 1.152 -0.014297485 0.013122559 0.03982544
1.181 1.172 -0.0012054443 0.01876831 0.041549683
1.201 1.192 -0.0032806396 -0.007019043 0.04109192
1.221 1.213 -0.003479004 -0.022628784 0.025390625
1.242 1.233 0.013793945 -0.018966675 0.006149292
1.262 1.253 0.025238037 -0.018493652 0.0058898926
1.281 1.273 0.02180481 -0.019866943 0.0037231445
1.301 1.293 0.021438599 -0.011367798 -0.001663208
1.322 1.313 0.014099121 -0.0036621094 9.3078613E-4
1.341 1.333 0.008880615 0.006866455 0.0031280518
1.361 1.354 0.008911133 0.0048675537 -0.017822266
1.381 1.374 0.009170532 0.006576538 -0.024383545
1.402 1.394 0.0042266846 -0.0030822754 -0.011199951
1.422 1.414 -0.025604248 -0.011260986 0.0043945313
1.441 1.434 -0.04838562 -0.003616333 0.029907227
1.461 1.454 -0.035095215 0.02519226 0.014602661
1.481 1.474 0.0054779053 0.01512146 0.0010528564
1.502 1.495 0.016189575 -0.012710571 -0.00340271
1.523 1.515 0.007171631 -1.5258789E-4 0.0053863525
1.542 1.535 0.0031433105 0.024459839 0.014633179
1.562 1.555 -0.017044067 0.001449585 -1.373291E-4
1.581 1.575 -0.016540527 -0.036834717 -0.028701782
1.602 1.595 0.013000488 -0.043640137 -0.03488159
1.622 1.615 0.027557373 -0.035751343 -0.032424927
1.642 1.636 0.0231781 -0.03314209 -0.028259277
1.661 1.656 -0.0070343018 -0.036590576 -0.038467407
1.682 1.676 -0.014892578 -0.08023071 -0.0592041
1.701 1.696 -0.01083374 -0.07661438 -0.093948364
1.721 1.716 -0.007293701 -0.0579834 -0.08157349
1.742 1.736 -0.039779663 -0.06820679 -0.050491333
1.762 1.756 -0.094818115 -0.08808899 -0.011184692
1.782 1.777 -0.10475159 -0.108551025 -0.0015106201
1.802 1.797 -0.07347107 -0.106277466 -0.0018157959
1.822 1.817 -0.056411743 -0.117996216 -0.014343262
1.842 1.837 -0.016494751 -0.11276245 -0.02255249
1.862 1.857 0.013412476 -0.09114075 -0.018569946
1.886 1.877 0.010803223 -0.07199097 -0.02671814
1.902 1.897 0.014144897 -0.06349182 -0.055023193
1.922 1.918 0.028045654 -0.060943604 -0.07392883
1.942 1.938 -0.01411438 6.5612793E-4 -0.055847168
1.962 1.958 -0.052474976 0.04840088 -0.02633667
1.984 1.978 -0.062805176 0.06225586 0.006164551
2.002 1.998 -0.0776062 0.088409424 0.05317688
2.022 2.018 -0.079437256 0.093933105 0.10348511
2.043 2.038 -0.057434082 0.08811951 0.13700867
2.063 2.059 0.007751465 0.06716919 0.13493347
2.084 2.079 0.047454834 0.100494385 0.12960815
2.103 2.099 0.012969971 0.069992065 0.122283936
2.124 2.119 -0.043121338 -0.0068511963 0.09370422
2.142 2.139 -0.025314331 -0.010498047 0.055252075
2.162 2.159 0.0019989014 0.016479492 0.03491211
2.184 2.179 -0.017471313 -0.005126953 0.019470215
2.225 2.199 -0.053878784 -0.023345947 -0.016906738
2.225 2.220 -0.07287598 -0.02229309 -0.026412964
2.264 2.240 -0.0688324 -0.03364563 -0.037719727
2.282 2.260 -0.07067871 -0.08178711 -0.07652283
2.302 2.280 -0.05580139 -0.06488037 -0.124923706
2.322 2.300 -0.025817871 -0.0443573 -0.14672852
2.342 2.320 -0.016983032 -0.03300476 -0.13119507
2.362 2.340 -4.7302246E-4 -0.034835815 -0.13160706
2.382 2.361 0.041885376 -0.07003784 -0.14723206
2.403 2.381 0.009567261 -0.10588074 -0.1020813
2.422 2.401 -0.041732788 -0.08917236 -0.05747986
2.443 2.421 -0.058944702 -0.02986145 -0.033081055
2.463 2.441 -0.07131958 -0.048614502 -0.051589966
2.483 2.461 -0.0769043 -0.07064819 -0.057388306
2.502 2.481 -0.09390259 -0.0415802 -0.037200928
2.523 2.502 -0.17362976 -0.06271362 -0.026809692
2.546 2.522 -0.19398499 -0.15560913 -0.0435791
2.564 2.542 -0.1382904 -0.18704224 -0.07072449
2.584 2.562 -0.07801819 -0.13346863 -0.08331299
2.604 2.582 -0.05747986 -0.06489563 -0.07444763
2.623 2.602 -0.07652283 -0.032546997 -0.060577393
2.644 2.622 -0.108673096 -0.115493774 -0.046279907
2.663 2.643 -0.09233093 -0.14672852 -0.06544495
2.683 2.663 -0.0642395 -0.0544281 -0.05883789
2.703 2.683 -0.045898438 0.009231567 -0.040130615
2.723 2.703 -0.029693604 -0.025283813 0.0032806396
2.745 2.723 -0.029327393 -0.052474976 0.018661499
2.763 2.743 -0.004776001 -0.050201416 0.076293945
2.783 2.763 0.03717041 -0.059631348 0.11680603
2.803 2.784 0.082351685 -0.03526306 0.1302948
2.823 2.804 0.11187744 -0.015777588 0.08656311
2.843 2.824 0.095840454 -0.05618286 0.023971558
2.864 2.844 -0.0056762695 -0.10531616 -0.028305054
2.884 2.864 -0.06904602 -0.093948364 -0.047714233
2.903 2.884 -0.07929993 -0.011688232 -0.05947876
2.924 2.904 -0.0773468 0.067871094 -0.07501221
2.944 2.925 -0.07243347 0.054733276 -0.0783844
2.964 2.945 -0.070510864 -0.040161133 -0.063323975
2.984 2.965 -0.066329956 -0.12394714 -0.04197693
3.006 2.985 -0.03717041 -0.113967896 -0.03236389
