magnetometer.txt

All values are in micro-Tesla (uT). Factory calibration and temperature compensation are applied to this measurement
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-bias-x estimated-bias-y estimated-bias-z
0.391 0.374 27.290344 62.10327 456.10352 16.769043 56.796265 472.1817
0.412 0.394 26.771545 62.953186 456.13403 16.769043 56.796265 472.1817
0.435 0.415 26.885986 63.067627 456.90765 16.769043 56.796265 472.1817
0.457 0.435 26.553345 63.067627 456.6925 16.769043 56.796265 472.1817
0.502 0.455 26.44806 63.179016 455.81512 16.769043 56.796265 472.1817
0.502 0.475 27.554321 63.40027 454.953 16.769043 56.796265 472.1817
0.514 0.495 27.201843 63.633728 455.1819 16.769043 56.796265 472.1817
0.531 0.515 26.849365 63.88855 456.01196 16.769043 56.796265 472.1817
0.551 0.535 27.386475 63.56659 456.7459 16.769043 56.796265 472.1817
0.572 0.556 27.508545 62.71057 456.6269 16.769043 56.796265 472.1817
0.592 0.576 27.532959 61.424255 456.4804 16.769043 56.796265 472.1817
0.612 0.596 27.220154 61.73706 456.58264 16.769043 56.796265 472.1817
0.632 0.616 27.154541 61.92932 456.64673 16.769043 56.796265 472.1817
0.652 0.636 27.052307 62.756348 456.4911 16.769043 56.796265 472.1817
0.672 0.656 27.052307 63.56659 456.09436 16.769043 56.796265 472.1817
0.692 0.676 26.985168 63.632202 456.29272 16.769043 56.796265 472.1817
0.712 0.697 26.748657 63.868713 456.58264 16.769043 56.796265 472.1817
0.733 0.717 26.551819 64.06708 456.58264 16.769043 56.796265 472.1817
0.751 0.737 27.253723 63.505554 456.71997 16.769043 56.796265 472.1817
0.771 0.757 27.650452 62.734985 456.4911 16.769043 56.796265 472.1817
0.792 0.777 26.885986 62.734985 455.9311 16.769043 56.796265 472.1817
0.814 0.797 27.250671 62.3703 456.0028 16.769043 56.796265 472.1817
0.833 0.817 27.793884 62.564087 456.31104 16.769043 56.796265 472.1817
0.851 0.838 27.886963 63.40027 456.58264 16.769043 56.796265 472.1817
0.871 0.858 27.049255 63.323975 455.9143 16.769043 56.796265 472.1817
0.893 0.878 26.667786 62.771606 455.87006 16.769043 56.796265 472.1817
0.913 0.898 27.386475 62.236023 456.7459 16.769043 56.796265 472.1817
0.932 0.918 27.46582 62.6297 457.13196 16.769043 56.796265 472.1817
0.952 0.938 27.47345 62.18872 457.01294 16.769043 56.796265 472.1817
0.972 0.958 27.386475 61.2381 456.41937 16.769043 56.796265 472.1817
0.993 0.979 27.468872 61.97357 456.34003 16.769043 56.796265 472.1817
1.011 0.999 28.134155 62.982178 457.14722 16.769043 56.796265 472.1817
1.034 1.019 28.723145 63.233948 458.049 16.769043 56.796265 472.1817
1.052 1.039 28.126526 62.64038 457.46918 16.769043 56.796265 472.1817
1.072 1.059 28.413391 61.039734 456.90765 16.769043 56.796265 472.1817
1.093 1.079 29.223633 60.072327 456.90765 16.769043 56.796265 472.1817
1.114 1.099 30.368042 58.93097 456.13556 16.769043 56.796265 472.1817
1.132 1.119 31.660461 57.10907 454.83398 16.769043 56.796265 472.1817
1.151 1.140 31.895447 56.411743 454.30145 16.769043 56.796265 472.1817
1.173 1.160 33.439636 55.233765 454.03595 16.769043 56.796265 472.1817
1.197 1.180 35.469055 50.950623 453.63464 16.769043 56.796265 472.1817
1.213 1.200 36.07025 48.257446 453.48816 16.769043 56.796265 472.1817
1.233 1.220 36.351013 47.976685 453.0304 16.769043 56.796265 472.1817
1.253 1.240 36.665344 45.204163 450.914 16.769043 56.796265 472.1817
1.274 1.260 36.738586 43.266296 449.57886 16.769043 56.796265 472.1817
1.293 1.281 36.349487 41.91284 448.0667 16.769043 56.796265 472.1817
1.313 1.301 36.558533 40.64331 446.30432 16.769043 56.796265 472.1817
1.333 1.321 36.904907 40.437317 445.8313 16.769043 56.796265 472.1817
1.353 1.341 38.601685 37.950134 443.98346 16.769043 56.796265 472.1817
1.376 1.361 41.65802 34.970093 442.836 16.769043 56.796265 472.1817
1.393 1.381 42.91687 34.11255 442.9001 16.769043 56.796265 472.1817
1.412 1.401 42.40265 30.731201 440.99426 16.769043 56.796265 472.1817
1.432 1.422 41.25061 24.273682 439.60266 16.769043 56.796265 472.1817
1.452 1.442 40.745544 21.632385 439.47906 16.769043 56.796265 472.1817
1.478 1.462 39.05487 18.052673 441.12854 16.769043 56.796265 472.1817
1.494 1.482 36.898804 10.554504 445.93506 16.769043 56.796265 472.1817
1.513 1.502 36.236572 7.4890137 448.1125 16.769043 56.796265 472.1817
1.533 1.522 32.658386 3.2730103 453.93066 16.769043 56.796265 472.1817
1.554 1.542 26.457214 -1.2939453 461.87592 16.769043 56.796265 472.1817
1.577 1.563 24.214172 -2.496338 464.40125 16.769043 56.796265 472.1817
1.592 1.583 20.748901 -4.1671753 466.4734 16.769043 56.796265 472.1817
1.612 1.603 15.101624 -6.6741943 469.7998 16.769043 56.796265 472.1817
1.632 1.623 13.192749 -7.4890137 470.91675 16.769043 56.796265 472.1817
1.654 1.643 9.762573 -8.856201 473.37036 16.769043 56.796265 472.1817
1.672 1.663 5.4138184 -9.715271 474.50104 16.769043 56.796265 472.1817
1.692 1.683 4.1748047 -9.817505 474.50104 16.769043 56.796265 472.1817
1.714 1.704 1.4785767 -11.102295 477.5879 16.769043 56.796265 472.1817
1.734 1.724 -2.1469116 -11.531067 480.39703 16.769043 56.796265 472.1817
1.755 1.744 -3.1723022 -11.482239 481.01654 16.769043 56.796265 472.1817
1.773 1.764 -2.5726318 -11.602783 481.36902 16.769043 56.796265 472.1817
1.793 1.784 -4.034424 -13.822937 482.68738 16.769043 56.796265 472.1817
1.813 1.804 -4.675293 -14.64386 483.13293 16.769043 56.796265 472.1817
1.833 1.824 -4.798889 -14.031982 484.21326 16.769043 56.796265 472.1817
1.857 1.845 -3.8513184 -14.801025 484.84192 16.769043 56.796265 472.1817
1.873 1.865 -3.5064697 -15.142822 484.92584 16.769043 56.796265 472.1817
1.893 1.885 -1.7440796 -15.644836 485.4187 16.769043 56.796265 472.1817
1.913 1.905 0.48217773 -17.201233 484.4635 16.769043 56.796265 472.1817
1.938 1.925 1.0025024 -17.63916 484.11102 16.769043 56.796265 472.1817
1.956 1.945 3.970337 -17.76886 483.73413 16.769043 56.796265 472.1817
1.973 1.965 8.354187 -16.63971 484.0042 16.769043 56.796265 472.1817
1.993 1.986 9.352112 -16.307068 484.11102 16.769043 56.796265 472.1817
2.014 2.006 10.801697 -17.49115 484.24072 16.769043 56.796265 472.1817
2.033 2.026 13.450623 -16.081238 484.404 16.769043 56.796265 472.1817
2.054 2.046 14.027405 -15.641785 484.43604 16.769043 56.796265 472.1817
2.073 2.066 15.2404785 -15.777588 483.25348 16.769043 56.796265 472.1817
2.093 2.086 15.664673 -16.757202 482.83844 16.769043 56.796265 472.1817
2.114 2.106 15.696716 -16.973877 482.80792 16.769043 56.796265 472.1817
2.133 2.127 16.247559 -15.324402 482.2708 16.769043 56.796265 472.1817
2.155 2.147 17.477417 -14.700317 483.51288 16.769043 56.796265 472.1817
2.175 2.167 17.701721 -14.64386 483.7845 16.769043 56.796265 472.1817
2.193 2.187 18.122864 -15.34729 483.64868 16.769043 56.796265 472.1817
2.215 2.207 17.918396 -16.889954 481.1325 16.769043 56.796265 472.1817
2.236 2.227 17.868042 -17.140198 480.69 16.769043 56.796265 472.1817
2.254 2.247 17.436218 -17.570496 482.2342 16.769043 56.796265 472.1817
2.274 2.268 17.510986 -17.207336 480.64575 16.769043 56.796265 472.1817
2.294 2.288 17.533875 -17.140198 480.365 16.769043 56.796265 472.1817
2.315 2.308 18.708801 -17.726135 481.51245 16.769043 56.796265 472.1817
2.334 2.328 17.390442 -18.395996 481.6681 16.769043 56.796265 472.1817
2.354 2.348 17.199707 -18.470764 481.6681 16.769043 56.796265 472.1817
2.374 2.368 18.397522 -18.470764 481.6681 16.769043 56.796265 472.1817
2.395 2.388 17.027283 -18.771362 481.3736 16.769043 56.796265 472.1817
2.416 2.409 16.86554 -18.803406 481.34155 16.769043 56.796265 472.1817
2.434 2.429 17.93518 -18.347168 480.59692 16.769043 56.796265 472.1817
2.454 2.449 17.112732 -18.917847 481.7276 16.769043 56.796265 472.1817
2.474 2.469 17.033386 -18.969727 481.82983 16.769043 56.796265 472.1817
2.494 2.489 17.811584 -18.504333 481.37512 16.769043 56.796265 472.1817
2.516 2.509 17.55371 -17.5354 480.42603 16.769043 56.796265 472.1817
2.534 2.529 17.533875 -17.47284 480.365 16.769043 56.796265 472.1817
