x,y,z
29.17,-13.55,983.64
29.79,-15.20,984.44
30.58,-14.47,984.92
32.96,-11.47,984.99
30.76,-12.70,983.64
31.19,-12.82,985.41
30.52,-12.21,983.64
30.46,-11.90,984.31
31.19,-13.92,985.05
30.94,-12.27,984.37
31.19,-13.12,985.11
31.62,-13.31,984.62
30.70,-13.55,984.80
29.91,-13.31,983.22
30.46,-12.94,983.52
15.87,-13.37,984.56
30.88,-12.70,986.27
31.98,-12.82,982.60
29.54,-11.54,986.21
29.48,-11.96,984.86
30.21,-12.57,985.84
30.46,-11.90,981.87
29.79,-11.29,982.42
31.19,-14.47,984.31
31.31,-15.44,985.05
31.19,-14.04,985.23
30.03,-12.15,985.29
32.29,-13.61,984.25
33.51,-12.63,984.50
31.31,-12.33,985.11
29.42,-12.57,985.11
31.07,-12.15,983.83
30.76,-13.43,985.72
28.87,-13.85,984.01
30.33,-10.80,984.19
31.01,-12.45,982.48
29.97,-13.61,983.89
32.10,-13.92,984.86
29.97,-14.59,982.85
32.23,-13.18,984.74
31.74,-10.44,984.31
31.98,-11.60,983.95
28.87,-11.29,986.39
30.94,-14.16,985.11
29.48,-14.28,984.01
29.66,-12.39,986.76
30.15,-13.12,984.68
31.49,-13.49,984.50
33.14,-12.76,984.74
31.74,-14.34,985.05
29.54,-12.82,984.25
30.58,-13.06,986.27
31.49,-11.84,984.31
30.82,-12.70,983.28
30.88,-15.01,982.97
30.94,-13.79,984.37
29.48,-11.54,983.09
29.60,-14.10,984.68
30.76,-12.76,984.01
32.17,-11.35,984.19
31.62,-12.94,984.68
31.19,-13.61,984.25
30.52,-13.24,983.89
32.53,-11.60,984.56
30.52,-13.79,985.41
32.84,-12.45,984.68
30.76,-12.57,985.72
29.79,-14.10,983.83
31.86,-12.88,984.44
30.46,-13.61,983.28
29.85,-12.63,984.31
31.37,-14.71,985.41
29.36,-13.37,984.99
31.01,-11.90,984.50
30.40,-13.12,983.64
29.85,-11.96,985.78
31.07,-11.84,981.08
15.75,-13.18,985.53
30.09,-11.84,983.52
31.56,-13.00,982.73
29.48,-13.55,982.91
30.40,-13.31,985.35
30.03,-11.60,986.63
30.52,-11.90,982.79
30.09,-13.31,987.43
31.56,-10.62,984.13
29.54,-12.27,986.02
31.01,-13.31,984.31
30.94,-13.43,982.36
32.23,-13.31,985.05
30.76,-13.61,984.19
30.33,-12.94,985.35
29.91,-13.92,969.06
31.74,-13.12,985.17
32.41,-13.73,982.48
30.64,-13.55,983.64
31.74,-11.72,984.56
30.40,-12.33,985.11
30.70,-12.39,985.23
30.15,-14.34,983.58
31.62,-11.60,986.08
29.72,-11.11,984.19
30.64,-12.27,988.71
29.97,-15.81,984.56
31.74,-13.49,983.09
30.40,-13.12,982.12
31.68,-12.02,985.29
30.82,-14.34,984.01
28.99,-11.66,985.41
29.05,-13.37,983.70
31.49,-11.47,984.37
28.75,-10.56,984.80
32.23,-13.98,985.47
30.94,-11.78,986.21
30.58,-13.55,984.01
31.56,-13.92,985.35
29.17,-12.02,984.68
30.58,-13.49,983.03
31.98,-13.06,985.41
30.40,-13.18,984.13
29.91,-13.92,985.23
31.37,-14.40,985.96
31.80,-12.15,983.46
29.79,-12.45,969.18
30.88,-14.53,983.28
29.30,-13.00,985.72
31.19,-11.47,983.64
31.92,-12.45,984.86
30.58,-13.49,984.92
30.09,-13.49,983.70
30.21,-14.16,983.83
30.09,-13.98,985.96
31.56,-13.98,983.46
29.11,-10.38,985.96
31.31,-13.79,987.06
32.10,-11.41,984.92
31.56,-13.31,985.78
32.10,-13.49,984.80
29.97,-14.10,985.53
31.19,-12.21,986.27
30.82,-13.06,985.96
29.72,-12.51,983.95
29.79,-13.37,984.68
30.76,-11.17,985.41
30.76,-12.63,983.83
31.98,-14.95,984.50
30.76,-10.99,985.96
31.56,-12.45,987.37
30.03,-13.06,985.11
30.88,-12.70,986.15
32.47,-12.63,985.60
31.49,-12.15,987.30
31.56,-13.18,985.96
31.56,-12.39,984.13
29.66,-12.45,985.66
31.31,-13.18,985.17
30.88,-13.67,983.58
30.33,-12.82,984.13
32.53,-12.02,984.86
30.09,-12.27,984.74
28.99,-13.49,982.24
29.72,-11.84,984.68
31.56,-11.11,984.37
31.37,-12.57,987.06
32.71,-13.37,984.80
30.15,-10.99,985.05
31.62,-13.85,981.75
29.97,-15.20,983.34
30.94,-14.53,984.07
28.99,-13.06,984.31
30.40,-15.26,985.05
31.31,-13.55,984.68
31.62,-13.00,985.47
31.92,-13.24,985.66
31.86,-13.79,984.99
30.15,-12.21,984.50
30.21,-12.82,984.01
31.07,-14.22,983.70
31.31,-13.67,984.80
30.15,-13.61,985.96
29.79,-13.43,984.19
30.03,-13.79,984.80
32.41,-11.60,984.50
31.25,-12.21,985.11
31.01,-11.72,984.92
31.68,-14.16,984.80
31.25,-12.82,984.37
30.70,-11.60,985.17
31.13,-13.18,985.17
30.88,-13.79,987.67
30.27,-13.67,983.46
30.70,-13.12,984.56
30.70,-11.84,982.48
30.70,-12.21,983.70
30.58,-13.37,984.25
30.82,-13.49,985.23
30.88,-11.54,985.60
31.01,-12.82,984.62
32.35,-12.27,983.34
32.53,-13.85,984.44
31.68,-11.78,984.68
30.58,-11.78,983.89
29.66,-12.88,985.23
32.29,-12.82,983.40
29.66,-14.16,984.01
30.70,-11.41,984.25
30.64,-14.10,983.76
31.01,-12.70,984.44
31.07,-12.08,985.47
31.62,-12.70,984.74
32.78,-13.12,985.17
31.19,-14.16,983.83
29.48,-12.21,986.21
31.68,-13.12,984.86
31.07,-12.82,984.80
30.46,-12.51,983.34
30.15,-13.67,999.69
30.82,-14.53,984.37
31.68,-12.88,985.72
30.09,-14.16,984.92
31.92,-11.17,982.06
31.07,-12.76,985.53
28.69,-11.66,984.50
28.75,-14.16,984.92
31.62,-13.31,981.87
30.40,-13.79,984.86
30.09,-13.55,983.95
30.70,-13.79,984.92
31.19,-11.84,985.17
30.52,-11.78,985.05
31.49,-12.70,983.64
31.62,-14.16,986.57
30.09,-13.37,986.57
31.98,-12.63,984.62
30.64,-12.88,985.72
29.36,-14.16,985.66
30.94,-12.51,982.73
29.85,-13.61,985.78
30.64,-12.39,985.90
30.82,-14.16,985.23
30.94,-11.66,984.25
31.37,-13.31,984.25
31.86,-12.21,981.93
30.21,-13.06,984.01
30.21,-14.22,984.92
29.85,-13.37,984.99
33.08,-12.21,984.92
32.96,-13.49,983.76
31.25,-13.00,984.25
28.87,-14.65,984.62
31.56,-13.12,986.33
31.13,-12.51,984.07
31.25,-14.83,984.07
29.36,-11.35,986.51
31.37,-14.22,986.51
29.24,-11.66,986.08
31.74,-12.45,984.25
32.47,-13.31,983.83
31.01,-12.63,983.89
30.46,-13.85,982.91
31.19,-12.57,985.96
29.97,-11.41,985.17
31.31,-11.66,985.23
31.49,-14.89,983.22
31.92,-14.28,985.41
30.46,-12.94,986.02
30.76,-13.61,983.03
31.13,-13.43,985.53
30.76,-12.57,984.68
29.97,-10.74,985.84
30.15,-12.15,983.58
30.40,-13.37,985.84
31.13,-12.39,984.50
29.30,-12.33,984.74
31.37,-11.41,981.08
31.62,-10.86,985.90
31.19,-12.63,985.66
31.13,-13.06,984.80
31.07,-14.77,986.27
31.07,-14.59,986.57
28.81,-11.60,985.11
31.37,-11.72,984.13
30.76,-14.16,985.47
31.31,-13.06,983.15
31.49,-15.93,984.62
29.79,-12.82,984.80
31.01,-14.16,984.07
30.09,-14.22,982.97
30.82,-12.45,984.86
30.82,-12.27,986.08
30.64,-13.61,985.90
30.46,-12.08,983.64
30.09,-13.55,982.91
30.76,-12.21,982.79
31.98,-12.88,982.97
32.35,-12.51,985.47
30.94,-12.82,985.78
30.70,-13.61,986.33
31.07,-11.78,984.50
31.49,-11.72,986.02
30.70,-12.39,983.28
31.13,-12.45,986.08
