gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.450 0.433 0.07260132 0.07272339 0.117889404
0.469 0.453 0.041793823 0.043258667 0.10179138
0.490 0.473 0.014862061 0.05885315 0.06896973
0.534 0.493 0.029800415 0.076797485 0.033615112
0.534 0.513 0.05114746 0.014526367 0.036468506
0.548 0.534 0.045837402 -0.008911133 0.028915405
0.569 0.554 0.053527832 0.043136597 -0.023590088
0.589 0.574 0.025009155 0.06297302 -0.068359375
0.609 0.594 -0.05105591 0.05366516 -0.066833496
0.629 0.614 -0.103881836 -0.006515503 -0.04219055
0.649 0.634 -0.13696289 -0.10671997 -0.0138549805
0.668 0.654 -0.23468018 -0.25186157 0.027954102
0.688 0.675 -0.41511536 -0.44273376 0.15763855
0.708 0.695 -0.38500977 -0.31193542 0.21653748
0.728 0.715 -0.06149292 -0.03338623 0.10986328
0.748 0.735 0.3152008 0.13919067 0.1762085
0.768 0.755 0.7119446 0.3668213 0.4670868
0.787 0.775 1.0876923 0.5186157 0.7252197
0.809 0.795 1.3903198 0.664505 0.8277893
0.827 0.816 1.50531 0.8556366 0.76594543
0.848 0.836 1.3500366 0.8686981 0.60975647
0.868 0.856 0.7905884 0.912323 0.18151855
0.887 0.876 0.0423584 0.68388367 -0.26216125
0.909 0.896 -0.5842438 -0.5287018 -0.21194458
0.927 0.916 -1.1588898 -1.8829346 0.06694031
0.947 0.936 -1.4674835 -2.033249 0.22431946
0.967 0.957 -1.294342 -1.3819427 0.20466614
0.987 0.977 -0.79382324 -0.5680542 0.18579102
1.007 0.997 -0.28907776 -0.02394104 0.28700256
1.029 1.017 0.09864807 0.05470276 0.45536804
1.047 1.037 0.34284973 -0.021118164 0.48625183
1.069 1.057 0.44470215 -0.18908691 0.37937927
1.087 1.077 0.42926025 -0.43399048 0.1346283
1.108 1.098 0.30749512 -0.7892456 -0.48773193
1.126 1.118 0.14982605 -1.1639404 -1.3039703
1.147 1.138 -0.04548645 -1.2460327 -2.005844
1.168 1.158 -0.16828918 -0.74020386 -1.1776428
1.186 1.178 -0.13963318 -0.039260864 0.11755371
1.208 1.198 0.12245178 0.14642334 0.45869446
1.227 1.218 0.121398926 0.19960022 0.37748718
1.246 1.239 -0.13418579 0.3945465 0.38327026
1.267 1.259 -0.44599915 0.14016724 0.38616943
1.287 1.279 -0.5493469 -0.21180725 0.3190918
1.306 1.299 -0.5714569 -0.42393494 0.68522644
1.326 1.319 -0.6737976 -0.6825104 0.9018402
1.346 1.339 -0.5418701 -0.51712036 0.7086487
1.366 1.359 -0.22718811 -0.24833679 0.49674988
1.386 1.379 -0.12872314 -0.0816803 0.6187744
1.406 1.400 0.11454773 0.34100342 0.24673462
1.425 1.420 0.17689514 0.091796875 -0.10090637
1.445 1.440 0.18835449 -0.018936157 -0.15104675
1.466 1.460 0.14859009 -0.123809814 -0.1253357
1.485 1.480 0.25613403 -0.2993164 -0.034591675
1.506 1.500 0.7110138 -0.2485199 -0.06828308
1.525 1.520 0.8880615 -0.05329895 -0.07254028
1.545 1.541 0.3915558 0.28144836 -0.13809204
1.566 1.561 0.01701355 0.52731323 -0.05366516
1.587 1.581 0.020187378 0.6281738 -0.09802246
1.606 1.601 0.022994995 0.6721344 -0.1449585
1.625 1.621 -0.12281799 0.53852844 -0.07736206
1.645 1.641 -0.12966919 0.2568512 -0.05380249
1.664 1.661 -0.033081055 -0.012466431 0.018188477
1.687 1.682 0.1076355 -0.002090454 0.075683594
1.725 1.702 0.21702576 0.2054596 0.10736084
1.745 1.722 0.12667847 0.25306702 0.18566895
1.765 1.742 0.068862915 -0.008911133 0.22421265
1.784 1.762 0.17358398 0.015167236 0.13793945
1.804 1.782 0.059570313 0.12205505 0.11026001
1.824 1.802 -0.03703308 0.08192444 0.1083374
1.844 1.823 0.0068359375 0.05722046 0.06364441
1.864 1.843 -0.023513794 0.054397583 0.083847046
1.884 1.863 -0.013442993 0.12155151 0.08906555
1.904 1.883 0.042999268 0.20947266 0.11280823
1.924 1.903 0.111831665 0.18463135 0.2136383
1.944 1.923 0.23631287 0.15588379 0.22125244
1.964 1.943 0.2823639 0.27638245 0.15977478
1.988 1.964 0.2089386 0.38987732 0.09867859
2.003 1.984 0.1796112 0.36401367 0.09906006
2.024 2.004 0.16108704 0.15403748 0.20288086
2.043 2.024 0.20353699 -0.08981323 0.2559662
2.064 2.044 0.2710724 -0.23699951 0.29180908
2.084 2.064 0.3647766 -0.16358948 0.3047638
2.104 2.084 0.30778503 0.11608887 0.25357056
2.124 2.105 0.1627655 0.41827393 0.13195801
2.143 2.125 0.027786255 0.4222107 0.124816895
2.163 2.145 -0.10293579 0.22395325 0.18670654
2.184 2.165 -0.1448822 -0.017410278 0.2234497
2.203 2.185 -0.12046814 -0.053268433 0.37774658
2.223 2.205 -0.058410645 0.05885315 0.2780304
2.242 2.225 0.15814209 0.42562866 0.014572144
2.263 2.246 0.14543152 0.8698273 -0.21139526
2.284 2.266 -0.0115356445 0.86624146 -0.13345337
2.302 2.286 -0.07531738 0.42991638 0.07318115
2.322 2.306 0.013305664 0.047302246 0.17245483
2.342 2.326 0.12348938 -0.050567627 0.20483398
2.362 2.346 0.20306396 0.06326294 0.15307617
2.382 2.366 0.22285461 0.32173157 0.05656433
2.402 2.387 0.11936951 0.4048767 0.08947754
2.422 2.407 0.04096985 0.22270203 0.22709656
2.441 2.427 0.06906128 -0.011489868 0.33694458
2.466 2.447 0.12615967 -0.17741394 0.41212463
2.481 2.467 0.18511963 -0.20799255 0.39718628
2.501 2.487 0.22288513 0.047348022 0.207901
2.522 2.507 0.12286377 0.4008789 -0.0015106201
2.541 2.528 -0.016967773 0.5341644 -0.1277008
2.566 2.548 -0.06335449 0.3896942 -0.16560364
2.585 2.568 -0.05329895 0.16545105 -0.16165161
2.602 2.588 -0.050613403 0.031234741 -0.097839355
2.621 2.608 -0.082092285 0.0053863525 -0.02229309
2.640 2.628 -0.08576965 0.063323975 4.272461E-4
2.666 2.648 -0.05180359 0.120391846 0.026275635
2.681 2.669 0.035095215 0.15333557 0.0398407
2.701 2.689 0.13371277 0.2672119 -0.003829956
2.721 2.709 0.133255 0.32922363 0.031280518
2.740 2.729 0.114593506 0.1537323 0.23544312
2.762 2.749 0.16944885 -0.039413452 0.4356537
2.781 2.769 0.2722931 -0.011734009 0.48176575
2.800 2.789 0.3045044 0.21234131 0.3935852
2.821 2.810 0.18754578 0.4199829 0.31321716
2.840 2.830 0.08811951 0.48542786 0.2774048
2.863 2.850 0.026626587 0.2852478 0.32974243
2.882 2.870 0.029724121 -0.053085327 0.41304016
2.900 2.890 0.17219543 -0.17469788 0.38905334
2.920 2.910 0.2823639 0.12068176 0.16397095
2.940 2.930 0.2010498 0.52659607 -0.10089111
2.963 2.951 0.022537231 0.60017395 -0.15618896
2.980 2.971 -0.066467285 0.27246094 -2.593994E-4
3.000 2.991 0.029846191 -0.009552002 0.15370178
3.020 3.011 0.15730286 -0.058410645 0.19674683
3.047 3.031 0.2597046 0.259552 0.10626221
3.066 3.051 0.11752319 0.50253296 0.008544922
3.079 3.071 -0.0115356445 0.31021118 0.13801575
3.099 3.092 0.07337952 0.029708862 0.29293823
