magnetometer.txt

All values are in micro-Tesla (uT). Factory calibration and temperature compensation are applied to this measurement
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-bias-x estimated-bias-y estimated-bias-z
0.393 0.383 -6.2438965 63.342285 419.7052 13.416992 59.658813 468.38226
0.414 0.403 -5.844116 63.40027 420.0943 13.416992 59.658813 468.38226
0.436 0.423 -6.6314697 63.735962 418.88885 13.416992 59.658813 468.38226
0.453 0.443 -5.7632446 63.55896 419.52362 13.416992 59.658813 468.38226
0.475 0.463 -5.177307 63.40027 420.0943 13.416992 59.658813 468.38226
0.495 0.483 -4.2495728 64.09454 419.4168 13.416992 59.658813 468.38226
0.556 0.503 -3.3721924 64.39972 420.49103 13.416992 59.658813 468.38226
0.557 0.524 -3.1723022 64.39972 421.0724 13.416992 59.658813 468.38226
0.557 0.544 -3.0532837 64.99481 420.95642 13.416992 59.658813 468.38226
0.576 0.564 -2.5222778 64.98871 418.78357 13.416992 59.658813 468.38226
0.594 0.584 -2.3376465 64.89868 417.9779 13.416992 59.658813 468.38226
0.614 0.604 -0.85754395 65.14435 419.18182 13.416992 59.658813 468.38226
0.633 0.624 1.6601563 66.47339 419.1208 13.416992 59.658813 468.38226
0.653 0.644 2.3376465 66.89606 418.95447 13.416992 59.658813 468.38226
0.673 0.664 2.4642944 66.76788 417.84058 13.416992 59.658813 468.38226
0.692 0.685 3.6590576 66.34369 417.865 13.416992 59.658813 468.38226
0.714 0.705 4.008484 66.22925 417.9779 13.416992 59.658813 468.38226
0.735 0.725 5.5770874 67.27142 418.99872 13.416992 59.658813 468.38226
0.754 0.745 8.387756 67.82379 419.02313 13.416992 59.658813 468.38226
0.775 0.765 9.017944 67.89398 418.95447 13.416992 59.658813 468.38226
0.794 0.785 8.345032 67.49115 419.34814 13.416992 59.658813 468.38226
0.813 0.805 9.674072 66.989136 419.04602 13.416992 59.658813 468.38226
0.834 0.826 10.018921 66.89606 418.95447 13.416992 59.658813 468.38226
0.853 0.846 10.295105 67.72156 419.7647 13.416992 59.658813 468.38226
0.873 0.866 11.746216 66.78314 418.30292 13.416992 59.658813 468.38226
0.894 0.886 12.023926 66.56189 417.9779 13.416992 59.658813 468.38226
0.914 0.906 11.740112 66.84418 419.08417 13.416992 59.658813 468.38226
0.934 0.926 12.40387 69.03229 419.70062 13.416992 59.658813 468.38226
0.953 0.946 12.524414 69.39087 419.7693 13.416992 59.658813 468.38226
0.973 0.967 11.651611 67.65289 420.3369 13.416992 59.658813 468.38226
0.994 0.987 11.375427 68.12439 420.27893 13.416992 59.658813 468.38226
1.012 1.007 11.355591 68.22662 420.25757 13.416992 59.658813 468.38226
1.032 1.027 12.8463745 68.22662 419.96765 13.416992 59.658813 468.38226
1.052 1.047 14.678955 67.17682 420.07904 13.416992 59.658813 468.38226
1.073 1.067 14.862061 67.06238 420.0943 13.416992 59.658813 468.38226
1.092 1.087 13.484192 67.518616 419.9463 13.416992 59.658813 468.38226
1.112 1.108 16.130066 65.41138 421.13495 13.416992 59.658813 468.38226
1.132 1.128 16.365051 65.23132 421.23566 13.416992 59.658813 468.38226
1.152 1.148 16.990662 63.983154 421.23566 13.416992 59.658813 468.38226
1.173 1.168 19.238281 60.758972 421.54236 13.416992 59.658813 468.38226
1.193 1.188 19.371033 60.57129 421.56067 13.416992 59.658813 468.38226
1.212 1.208 19.529724 61.688232 420.46814 13.416992 59.658813 468.38226
1.232 1.228 19.859314 59.805298 421.6812 13.416992 59.658813 468.38226
1.253 1.249 19.871521 59.739685 421.72394 13.416992 59.658813 468.38226
1.272 1.269 19.216919 58.432007 422.04437 13.416992 59.658813 468.38226
1.292 1.289 19.53125 58.735657 421.73004 13.416992 59.658813 468.38226
1.312 1.309 19.537354 58.74176 421.72394 13.416992 59.658813 468.38226
1.352 1.329 21.20514 60.073853 422.04895 13.416992 59.658813 468.38226
1.372 1.349 20.539856 61.071777 421.72394 13.416992 59.658813 468.38226
1.397 1.369 20.532227 61.064148 421.71936 13.416992 59.658813 468.38226
1.412 1.390 20.178223 60.74524 421.3974 13.416992 59.658813 468.38226
1.432 1.410 19.204712 61.071777 421.3974 13.416992 59.658813 468.38226
1.452 1.430 19.230652 60.9787 421.3852 13.416992 59.658813 468.38226
1.473 1.450 19.854736 58.75702 421.08917 13.416992 59.658813 468.38226
1.492 1.470 19.537354 59.0744 421.3974 13.416992 59.658813 468.38226
1.512 1.490 19.421387 59.06372 421.42944 13.416992 59.658813 468.38226
1.532 1.510 17.72461 58.813477 421.84296 13.416992 59.658813 468.38226
1.552 1.531 18.035889 57.57599 421.23566 13.416992 59.658813 468.38226
1.572 1.551 18.077087 57.67517 421.13953 13.416992 59.658813 468.38226
1.592 1.571 18.61267 58.572388 420.1996 13.416992 59.658813 468.38226
1.612 1.591 19.371033 56.910706 421.23566 13.416992 59.658813 468.38226
1.632 1.611 19.299316 57.01599 421.30585 13.416992 59.658813 468.38226
1.652 1.631 18.682861 57.888794 421.94366 13.416992 59.658813 468.38226
1.672 1.651 18.536377 57.74231 422.3755 13.416992 59.658813 468.38226
1.692 1.672 18.751526 57.870483 422.3343 13.416992 59.658813 468.38226
1.712 1.692 19.837952 58.74176 421.96045 13.416992 59.658813 468.38226
1.732 1.712 17.533875 58.74176 421.3974 13.416992 59.658813 468.38226
1.753 1.732 17.356873 58.71582 421.47217 13.416992 59.658813 468.38226
1.775 1.752 16.390991 58.76007 421.75903 13.416992 59.658813 468.38226
1.792 1.772 16.532898 59.739685 421.0724 13.416992 59.658813 468.38226
1.812 1.792 16.589355 59.739685 421.13037 13.416992 59.658813 468.38226
