accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.330 0.316 -0.8335266 4.1674805 9.303894
0.350 0.336 -0.69389343 4.322342 9.166946
0.369 0.357 -0.45437622 4.4819946 9.131683
0.389 0.377 -0.3083191 4.5254974 9.195587
0.409 0.397 -0.35603333 4.4552 8.800964
0.430 0.417 -0.6160736 4.28389 8.28006
0.453 0.437 -0.8291931 4.1316833 8.210373
0.474 0.457 -0.9597931 4.001129 8.616974
0.532 0.477 -1.0628967 3.8187714 8.872833
0.533 0.498 -1.0112762 3.7388763 9.115814
0.533 0.518 -0.84736633 3.771164 9.378006
0.553 0.538 -0.78634644 3.8841248 9.118668
0.570 0.558 -0.7545166 4.1484833 8.61145
0.590 0.578 -0.6274414 4.3961487 7.9520874
0.611 0.598 -0.46237183 4.5010986 7.483185
0.631 0.618 -0.1803894 4.355057 7.879776
0.650 0.639 0.22290039 4.0535736 9.026184
0.670 0.659 0.57333374 3.8393097 9.945847
0.690 0.679 0.6982727 3.6266022 10.030411
0.710 0.699 0.6995697 3.4824982 9.432678
0.730 0.719 0.830246 3.5718536 8.948578
0.750 0.739 1.0394135 3.6946106 8.851532
0.770 0.759 1.1354523 3.6687775 8.769379
0.790 0.780 1.1838684 3.689087 8.633759
0.810 0.800 1.2124329 3.7425537 8.571259
0.830 0.820 1.2193604 3.803711 8.521927
0.850 0.840 1.3349762 3.8200226 8.769516
0.870 0.860 1.5098724 3.6969604 9.1888275
0.890 0.880 1.4696655 3.4936676 9.462387
0.913 0.900 1.3074799 3.3435364 9.281235
0.931 0.921 1.2582855 3.4733582 8.699554
0.950 0.941 1.2765045 3.7308044 8.102386
0.970 0.961 1.2071533 3.8572998 7.7273254
0.991 0.981 1.1005554 3.8811188 7.9249115
1.012 1.001 0.9883423 3.7418976 8.46431
1.030 1.021 1.053894 3.811966 8.683182
1.050 1.041 1.247055 3.8384552 8.722656
1.070 1.062 1.2764282 3.7304382 8.971695
1.090 1.082 1.1488342 3.6730042 9.0984955
1.110 1.102 0.94918823 3.6200104 8.644745
1.130 1.122 1.0197449 3.592514 8.473785
1.151 1.142 1.2031555 3.796875 8.660889
1.173 1.162 1.4324646 4.0198517 8.713455
1.193 1.182 1.6221466 4.228363 8.617783
1.211 1.203 1.6750946 4.423279 8.348297
1.231 1.223 1.6239929 4.5247498 8.124039
1.251 1.243 1.5159912 4.4949646 8.239883
1.271 1.263 1.3638611 4.446518 8.580872
1.293 1.283 1.2979736 4.458679 8.560181
1.311 1.303 1.2639465 4.586731 8.524506
1.331 1.323 1.2205048 4.6265717 8.510635
1.351 1.343 1.3039856 4.8760223 8.436493
1.371 1.364 1.5074768 5.0424805 8.525879
1.392 1.384 1.5659943 5.127701 8.606918
1.411 1.404 1.4274445 4.99263 8.930603
1.431 1.424 1.4003143 4.935623 9.316193
1.452 1.444 1.5200958 4.9635925 9.528976
1.471 1.464 1.5881348 4.9335785 9.640137
1.493 1.484 1.3517914 5.013077 9.315826
1.511 1.505 1.163147 5.0640106 8.920334
1.532 1.525 1.1070862 5.2230988 8.709717
1.552 1.545 1.0007629 5.290451 8.706497
1.571 1.565 0.93292236 5.3750153 8.896652
1.591 1.585 0.9276428 5.344284 9.108322
1.612 1.605 0.8121338 5.016815 9.225311
1.631 1.625 0.4968109 4.4888763 9.571075
1.651 1.646 0.4111328 3.8727112 10.231461
1.674 1.666 0.20169067 3.264038 10.642578
1.692 1.686 -0.2422638 2.6593475 10.653748
1.711 1.706 -0.7541046 2.4049988 9.829697
1.732 1.726 -1.0606384 2.6800842 8.322159
1.754 1.746 -0.9658661 3.1281433 7.6530457
1.771 1.766 -0.75808716 3.2943573 8.199875
1.792 1.787 -0.5425415 3.1273346 9.29277
1.812 1.807 -0.5226898 3.0503082 9.37471
1.832 1.827 -0.5435028 3.1704102 8.553162
1.854 1.847 -0.47528076 3.4291992 7.79776
1.872 1.867 -0.43870544 3.5939941 7.811966
