magnetometer-calibrated.txt

All values are in micro-Tesla (uT).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.398 0.377 -25.128174 -31.33545 -34.776306
0.417 0.397 -26.44806 -31.358337 -34.47113
0.438 0.417 -27.456665 -31.50177 -34.332275
0.463 0.437 -27.554321 -31.454468 -34.236145
0.479 0.458 -28.025818 -30.969238 -33.82721
0.498 0.478 -27.456665 -29.838562 -34.657288
0.518 0.498 -27.618408 -29.9469 -34.761047
0.538 0.518 -28.48816 -30.145264 -35.064697
0.583 0.538 -28.625488 -28.340149 -33.84247
0.583 0.558 -28.742981 -28.575134 -34.069824
0.597 0.578 -29.566956 -29.40216 -35.17456
0.618 0.599 -30.796814 -28.173828 -35.308838
0.637 0.619 -30.70221 -28.205872 -35.46295
0.658 0.639 -30.296326 -28.144836 -36.058044
0.678 0.659 -30.296326 -27.342224 -35.79712
0.697 0.679 -30.778503 -27.342224 -35.66284
0.719 0.699 -32.4234 -26.849365 -35.214233
0.737 0.719 -31.63147 -25.012207 -35.472107
0.758 0.740 -31.742859 -24.975586 -35.939026
0.778 0.760 -32.05719 -24.771118 -37.442017
0.798 0.780 -31.799316 -24.513245 -36.938477
0.817 0.800 -31.602478 -24.395752 -36.746216
0.838 0.820 -31.124878 -24.415588 -36.04431
0.857 0.840 -31.63147 -25.679016 -35.79712
0.879 0.860 -31.674194 -25.221252 -35.91919
0.898 0.881 -31.50177 -23.806763 -36.743164
0.920 0.901 -30.630493 -23.68164 -38.07831
0.938 0.921 -30.67627 -23.371887 -38.121033
0.958 0.941 -31.25 -22.335815 -38.153076
0.979 0.961 -32.466125 -21.850586 -37.91504
0.999 0.981 -32.278442 -21.664429 -38.098145
1.019 1.001 -31.848145 -20.471191 -38.519287
1.039 1.022 -31.965637 -18.688965 -38.40332
1.059 1.042 -32.460022 -18.591309 -38.78784
1.080 1.062 -33.937073 -17.956543 -39.804077
1.099 1.082 -34.63745 -17.025757 -40.03296
1.119 1.102 -34.32617 -16.819763 -39.830017
1.139 1.122 -33.37097 -15.991211 -39.639282
1.159 1.142 -32.800293 -15.194702 -40.196228
1.181 1.163 -33.236694 -14.978027 -40.408325
1.203 1.183 -34.08203 -14.474487 -41.223145
1.219 1.203 -33.969116 -14.363098 -41.98761
1.239 1.223 -33.8562 -14.024353 -42.430115
1.259 1.243 -33.57849 -13.076782 -43.121338
1.282 1.263 -33.468628 -12.532043 -42.80243
1.299 1.283 -32.936096 -12.47406 -43.321228
1.319 1.304 -31.785583 -11.827087 -44.325256
1.339 1.324 -31.465149 -10.868835 -44.430542
1.359 1.344 -31.651306 -11.669922 -44.369507
1.380 1.364 -31.652832 -12.5946045 -44.57245
1.399 1.384 -31.130981 -11.86676 -45.082092
1.419 1.404 -31.324768 -11.6744995 -45.018005
1.440 1.424 -31.370544 -10.978699 -44.79065
1.459 1.445 -30.963135 -10.368347 -44.59381
1.479 1.465 -30.963135 -10.902405 -44.59381
1.500 1.485 -31.910706 -11.566162 -44.856262
1.520 1.505 -33.302307 -11.367798 -45.24536
1.540 1.525 -32.539368 -11.437988 -44.63501
1.560 1.545 -31.74591 -10.835266 -43.77899
1.583 1.565 -32.131958 -9.869385 -43.77899
1.600 1.586 -32.061768 -10.371399 -44.2688
1.620 1.606 -32.11212 -11.180115 -44.20929
1.640 1.626 -32.299805 -11.367798 -43.29071
1.660 1.646 -32.226563 -11.294556 -43.652344
1.682 1.666 -32.50885 -10.827637 -43.73932
1.700 1.686 -32.96814 -10.368347 -43.29071
1.720 1.706 -33.81195 -9.83429 -43.51349
1.741 1.727 -34.417725 -8.509827 -43.85376
1.764 1.747 -33.969116 -7.7056885 -43.94226
1.781 1.767 -33.65326 -7.548523 -44.404602
1.800 1.787 -34.181213 -7.6141357 -44.996643
1.820 1.807 -35.13794 -7.873535 -45.082092
1.840 1.827 -35.13794 -6.7382813 -45.716858
1.861 1.847 -35.302734 -6.036377 -45.903015
1.881 1.868 -35.472107 -6.541443 -45.40863
1.900 1.888 -35.221863 -6.625366 -44.99817
1.920 1.908 -35.22644 -6.285095 -44.67621
1.940 1.928 -35.472107 -5.8761597 -44.75708
1.961 1.948 -35.646057 -5.3604126 -45.0943
1.981 1.968 -34.669495 -4.966736 -45.492554
2.000 1.988 -33.63495 -5.0445557 -45.570374
2.020 2.009 -34.527588 -5.932617 -44.874573
2.043 2.029 -35.12726 -5.455017 -44.267273
2.061 2.049 -34.97162 -4.3777466 -44.267273
2.082 2.069 -34.51538 -5.381775 -43.99872
2.101 2.089 -34.690857 -6.944275 -44.137573
2.122 2.109 -35.13794 -7.5393677 -44.430542
2.141 2.129 -35.232544 -7.260132 -43.058777
2.161 2.150 -35.021973 -8.082581 -41.523743
2.181 2.170 -34.805298 -8.87146 -41.17279
2.205 2.190 -34.51538 -7.8125 -41.83197
2.221 2.210 -34.303284 -7.235718 -41.741943
2.241 2.230 -34.303284 -7.373047 -41.33606
2.261 2.250 -33.90808 -7.7697754 -41.914368
2.281 2.270 -34.335327 -8.140564 -41.630554
2.303 2.291 -34.805298 -8.206177 -41.17279
2.325 2.311 -35.717773 -8.308411 -40.281677
2.342 2.331 -36.206055 -8.474731 -40.405273
2.361 2.351 -36.14044 -8.538818 -40.84778
2.381 2.371 -35.932922 -8.538818 -41.049194
2.401 2.391 -35.49347 -9.269714 -40.048218
2.424 2.411 -35.305786 -9.703064 -39.38141
2.441 2.432 -35.412598 -11.723328 -39.48517
2.462 2.452 -35.580444 -13.400269 -39.019775
2.482 2.472 -35.639954 -13.696289 -38.72986
2.502 2.492 -35.095215 -13.154602 -38.835144
2.522 2.512 -35.90393 -13.084412 -37.391663
2.541 2.532 -36.47461 -13.197327 -36.61194
2.562 2.552 -35.47058 -13.531494 -37.591553
2.581 2.572 -35.084534 -13.81073 -37.31079
2.602 2.593 -35.13794 -13.864136 -36.938477
2.622 2.613 -34.339905 -14.886475 -37.27112
2.642 2.633 -34.313965 -15.704346 -37.313843
2.662 2.653 -34.47113 -15.859985 -37.26349
2.683 2.673 -34.005737 -15.397644 -36.808777
2.705 2.693 -33.920288 -15.545654 -36.268616
2.722 2.713 -33.969116 -15.693665 -36.123657
2.742 2.734 -34.08966 -16.998291 -36.239624
2.762 2.754 -34.017944 -16.929626 -36.169434
2.782 2.774 -33.969116 -16.693115 -36.123657
2.802 2.794 -34.45587 -17.178345 -36.59668
2.822 2.814 -33.781433 -16.748047 -36.177063
2.842 2.834 -33.468628 -16.525269 -35.96039
2.862 2.854 -33.59375 -16.15448 -36.323547
2.883 2.875 -33.26111 -17.149353 -37.057495
2.902 2.895 -33.13446 -17.52472 -37.26349
2.922 2.915 -32.247925 -16.38794 -37.88147
2.943 2.935 -31.455994 -15.518188 -37.330627
2.962 2.955 -31.297302 -15.361023 -37.10022
2.982 2.975 -32.073975 -15.361023 -37.60376
3.003 2.995 -32.299805 -14.324951 -37.498474
3.024 3.016 -32.299805 -14.030457 -37.426758
3.047 3.036 -31.376648 -14.950562 -37.81128
3.065 3.056 -31.130981 -15.724182 -37.39624
3.089 3.076 -31.130981 -15.859985 -37.26349
3.103 3.096 -30.592346 -15.324402 -37.001038
3.123 3.116 -30.32837 -16.680908 -36.276245
3.143 3.136 -30.296326 -17.025757 -36.123657
3.163 3.157 -30.296326 -16.477966 -36.657715
3.183 3.177 -30.296326 -16.358948 -37.850952
3.208 3.197 -30.296326 -16.358948 -38.07831
3.224 3.217 -28.918457 -16.085815 -36.732483
3.243 3.237 -29.737854 -16.304016 -37.532043
3.266 3.257 -29.962158 -16.358948 -37.75177
3.283 3.277 -29.400635 -15.519714 -36.92932
