gyroscope.txt

All values are in radians/second. Factory calibration and temperature compensation are still applied to the rate of rotation (angular speeds).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-drift-x estimated-drift-y estimated-drift-z
0.462 0.447 -0.0049591064 0.09547424 -0.023132324 0.0326233 0.006210327 -0.0043640137
0.489 0.467 -0.009017944 0.089401245 -0.038528442 0.0326233 0.006210327 -0.0043640137
0.508 0.487 0.041275024 0.10533142 -0.03918457 0.0326233 0.006210327 -0.0043640137
0.554 0.508 0.06265259 0.088912964 -0.025039673 0.0326233 0.006210327 -0.0043640137
0.554 0.528 0.012268066 0.046203613 -0.015808105 0.0326233 0.006210327 -0.0043640137
0.563 0.548 -0.034576416 0.03994751 -0.021209717 0.0326233 0.006210327 -0.0043640137
0.580 0.568 -0.0068969727 0.092666626 -0.041168213 0.0326233 0.006210327 -0.0043640137
0.600 0.588 0.041244507 0.13887024 -0.0440979 0.0326233 0.006210327 -0.0043640137
0.620 0.608 0.052505493 0.116989136 -0.01373291 0.0326233 0.006210327 -0.0043640137
0.639 0.628 0.025848389 0.052825928 0.022354126 0.0326233 0.006210327 -0.0043640137
0.660 0.649 0.006286621 0.022720337 0.037734985 0.0326233 0.006210327 -0.0043640137
0.680 0.669 0.01713562 0.026763916 0.04144287 0.0326233 0.006210327 -0.0043640137
0.699 0.689 0.02558899 0.022232056 0.042816162 0.0326233 0.006210327 -0.0043640137
0.720 0.709 0.014862061 0.025802612 0.045898438 0.0326233 0.006210327 -0.0043640137
0.740 0.729 -0.011749268 0.03617859 0.05003357 0.0326233 0.006210327 -0.0043640137
0.760 0.749 -0.0031433105 0.027542114 0.039871216 0.0326233 0.006210327 -0.0043640137
0.782 0.769 0.03404236 6.1035156E-4 0.0068206787 0.0326233 0.006210327 -0.0043640137
0.800 0.790 0.047973633 -0.014801025 -0.02217102 0.0326233 0.006210327 -0.0043640137
0.820 0.810 0.042526245 0.0010070801 -0.022583008 0.0326233 0.006210327 -0.0043640137
0.842 0.830 0.050689697 0.027938843 -0.007659912 0.0326233 0.006210327 -0.0043640137
0.866 0.850 0.052520752 0.02319336 -0.003616333 0.0326233 0.006210327 -0.0043640137
0.881 0.870 0.039138794 -0.0010070801 -0.004562378 0.0326233 0.006210327 -0.0043640137
0.902 0.890 0.04925537 -0.019012451 -0.016189575 0.0326233 0.006210327 -0.0043640137
0.921 0.910 0.069732666 -0.026657104 -0.03086853 0.0326233 0.006210327 -0.0043640137
0.942 0.931 0.053131104 -0.01260376 -0.027542114 0.0326233 0.006210327 -0.0043640137
0.962 0.951 0.03729248 0.0073242188 0.0026245117 0.0326233 0.006210327 -0.0043640137
0.983 0.971 0.05003357 0.0256958 0.019973755 0.0326233 0.006210327 -0.0043640137
1.002 0.991 0.046447754 0.021331787 0.005126953 0.0326233 0.006210327 -0.0043640137
1.022 1.011 0.02456665 0.006134033 0.01234436 0.0326233 0.006210327 -0.0043640137
1.042 1.031 0.014724731 0.013183594 0.048309326 0.0326233 0.006210327 -0.0043640137
1.062 1.051 0.019836426 0.031555176 0.06642151 0.0326233 0.006210327 -0.0043640137
1.082 1.072 0.024002075 0.02293396 0.05117798 0.0326233 0.006210327 -0.0043640137
1.102 1.092 0.019561768 0.01449585 0.02520752 0.0326233 0.006210327 -0.0043640137
1.121 1.112 0.010498047 0.02130127 0.02166748 0.0326233 0.006210327 -0.0043640137
1.142 1.132 0.00982666 0.014190674 0.03024292 0.0326233 0.006210327 -0.0043640137
1.162 1.152 0.018325806 0.019332886 0.035461426 0.0326233 0.006210327 -0.0043640137
1.182 1.172 0.031417847 0.024978638 0.03718567 0.0326233 0.006210327 -0.0043640137
1.202 1.192 0.029342651 -8.087158E-4 0.036727905 0.0326233 0.006210327 -0.0043640137
1.221 1.213 0.029144287 -0.016418457 0.021026611 0.0326233 0.006210327 -0.0043640137
1.243 1.233 0.046417236 -0.012756348 0.0017852783 0.0326233 0.006210327 -0.0043640137
1.262 1.253 0.057861328 -0.012283325 0.0015258789 0.0326233 0.006210327 -0.0043640137
1.282 1.273 0.0544281 -0.013656616 -6.4086914E-4 0.0326233 0.006210327 -0.0043640137
1.301 1.293 0.05406189 -0.0051574707 -0.0060272217 0.0326233 0.006210327 -0.0043640137
1.323 1.313 0.046722412 0.0025482178 -0.0034332275 0.0326233 0.006210327 -0.0043640137
1.341 1.333 0.041503906 0.013076782 -0.0012359619 0.0326233 0.006210327 -0.0043640137
1.361 1.354 0.041534424 0.011077881 -0.02218628 0.0326233 0.006210327 -0.0043640137
1.382 1.374 0.041793823 0.012786865 -0.028747559 0.0326233 0.006210327 -0.0043640137
1.402 1.394 0.036849976 0.0031280518 -0.015563965 0.0326233 0.006210327 -0.0043640137
1.422 1.414 0.007019043 -0.005050659 3.0517578E-5 0.0326233 0.006210327 -0.0043640137
1.442 1.434 -0.01576233 0.0025939941 0.025543213 0.0326233 0.006210327 -0.0043640137
1.462 1.454 -0.0024719238 0.031402588 0.010238647 0.0326233 0.006210327 -0.0043640137
1.481 1.474 0.038101196 0.021331787 -0.0033111572 0.0326233 0.006210327 -0.0043640137
1.502 1.495 0.048812866 -0.006500244 -0.0077667236 0.0326233 0.006210327 -0.0043640137
1.523 1.515 0.039794922 0.0060577393 0.0010223389 0.0326233 0.006210327 -0.0043640137
1.543 1.535 0.0357666 0.030670166 0.010269165 0.0326233 0.006210327 -0.0043640137
1.562 1.555 0.015579224 0.007659912 -0.004501343 0.0326233 0.006210327 -0.0043640137
1.581 1.575 0.016082764 -0.03062439 -0.033065796 0.0326233 0.006210327 -0.0043640137
1.602 1.595 0.04562378 -0.03742981 -0.039245605 0.0326233 0.006210327 -0.0043640137
1.622 1.615 0.060180664 -0.029541016 -0.03678894 0.0326233 0.006210327 -0.0043640137
1.642 1.636 0.05580139 -0.026931763 -0.03262329 0.0326233 0.006210327 -0.0043640137
1.661 1.656 0.02558899 -0.030380249 -0.04283142 0.0326233 0.006210327 -0.0043640137
1.682 1.676 0.017730713 -0.074020386 -0.063568115 0.0326233 0.006210327 -0.0043640137
1.701 1.696 0.02178955 -0.07040405 -0.09831238 0.0326233 0.006210327 -0.0043640137
1.721 1.716 0.02532959 -0.05177307 -0.0859375 0.0326233 0.006210327 -0.0043640137
1.743 1.736 -0.007156372 -0.06199646 -0.054855347 0.0326233 0.006210327 -0.0043640137
1.762 1.756 -0.062194824 -0.08187866 -0.015548706 0.0326233 0.006210327 -0.0043640137
1.782 1.777 -0.072128296 -0.1023407 -0.005874634 0.0326233 0.006210327 -0.0043640137
1.802 1.797 -0.04084778 -0.10006714 -0.0061798096 0.0326233 0.006210327 -0.0043640137
1.822 1.817 -0.023788452 -0.11178589 -0.018707275 0.0326233 0.006210327 -0.0043640137
1.842 1.837 0.01612854 -0.106552124 -0.026916504 0.0326233 0.006210327 -0.0043640137
1.862 1.857 0.046035767 -0.08493042 -0.02293396 0.0326233 0.006210327 -0.0043640137
1.886 1.877 0.043426514 -0.06578064 -0.031082153 0.0326233 0.006210327 -0.0043640137
1.902 1.897 0.04676819 -0.057281494 -0.059387207 0.0326233 0.006210327 -0.0043640137
1.922 1.918 0.060668945 -0.054733276 -0.07829285 0.0326233 0.006210327 -0.0043640137
1.943 1.938 0.018508911 0.006866455 -0.06021118 0.0326233 0.006210327 -0.0043640137
1.962 1.958 -0.019851685 0.054611206 -0.030700684 0.0326233 0.006210327 -0.0043640137
1.984 1.978 -0.030181885 0.06846619 0.0018005371 0.0326233 0.006210327 -0.0043640137
2.002 1.998 -0.04498291 0.09461975 0.048812866 0.0326233 0.006210327 -0.0043640137
2.023 2.018 -0.046813965 0.10014343 0.099121094 0.0326233 0.006210327 -0.0043640137
2.043 2.038 -0.024810791 0.094329834 0.13264465 0.0326233 0.006210327 -0.0043640137
2.064 2.059 0.040374756 0.07337952 0.13056946 0.0326233 0.006210327 -0.0043640137
2.085 2.079 0.080078125 0.10670471 0.12524414 0.0326233 0.006210327 -0.0043640137
