timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1512176723.345829,0.259540,0.863166,0.970700,-0.042751,-0.036208,0.010481,0.166822,-0.759904,-0.628264,-0.014204,0.014787,-0.021181,4.347321,-18.264961,-20.623009,,,,,,,
1512176723.365848,0.258979,0.863259,0.971402,0.000671,0.009755,0.030460,0.166451,-0.759965,-0.628289,-0.008065,0.006776,-0.016212,4.046692,-18.415413,-20.545540,,,,,,,
1512176723.385837,0.258501,0.863137,0.972327,-0.029064,0.006521,0.023623,0.166175,-0.759886,-0.628458,0.001778,-0.000399,-0.003958,4.198044,-18.115181,-20.546669,,,,,,,
1512176723.405857,0.257301,0.862325,0.973181,-0.053436,-0.047976,0.011351,0.165577,-0.759358,-0.629253,0.013912,-0.006756,-0.007374,4.273041,-18.115074,-20.547310,,,,,,,
1512176723.425846,0.255763,0.861349,0.973684,-0.044714,-0.052210,-0.000263,0.164797,-0.758722,-0.630224,0.010389,-0.001334,0.003515,3.969177,-18.940529,-20.845146,,,,,,,
1512176723.445835,0.254598,0.860854,0.973708,-0.010465,-0.062825,-0.009400,0.164157,-0.758400,-0.630779,0.014904,0.008888,-0.010945,3.895889,-18.565636,-20.769325,,,,,,,
1512176723.465854,0.253847,0.861033,0.973476,0.019349,-0.020056,-0.004552,0.163650,-0.758516,-0.630771,-0.008270,0.013567,0.007678,4.118423,-19.090294,-20.996483,,,,,,,
1512176723.485844,0.254259,0.861265,0.973197,-0.001984,0.018357,-0.002598,0.163866,-0.758667,-0.630533,-0.008668,0.010269,0.019358,3.672287,-18.265968,-20.692284,,,,,,,
1512176723.505863,0.253969,0.860448,0.973524,-0.058584,-0.031937,0.001740,0.163838,-0.758134,-0.631181,0.009547,0.012025,-0.005767,4.122360,-18.265297,-20.546104,,,,,,,
1512176723.525852,0.252202,0.859552,0.974220,-0.035420,-0.059706,0.017970,0.162892,-0.757550,-0.632126,-0.001393,0.005826,-0.008911,4.044891,-18.790413,-20.770714,,,,,,,
1512176723.545841,0.251386,0.859515,0.974686,0.010563,-0.003014,0.011369,0.162383,-0.757526,-0.632286,-0.009261,0.005771,-0.002556,3.597916,-18.116081,-20.766579,,,,,,,
