timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1512177485.143956,0.305681,0.804637,-2.925208,-0.059930,-0.080360,-0.025458,0.208665,-0.720579,-0.661230,-0.011995,0.017011,-0.001337,-29.685379,-12.916008,-34.206062,,,,,,,
1512177485.163945,0.304945,0.804557,-2.924891,0.007420,-0.009867,0.031198,0.208196,-0.720524,-0.661438,0.008250,-0.003521,-0.003037,-30.138199,-13.516685,-34.427513,,,,,,,
1512177485.183934,0.303659,0.804934,-2.923666,-0.012092,-0.029160,0.050038,0.207264,-0.720785,-0.661446,0.009945,-0.006708,0.011101,-29.536804,-13.215782,-34.357475,,,,,,,
1512177485.203954,0.301494,0.804419,-2.922257,-0.055412,-0.077248,0.023656,0.205942,-0.720428,-0.662248,0.004218,-0.002915,0.010576,-30.136322,-13.141685,-34.052345,,,,,,,
1512177485.223943,0.298983,0.802991,-2.921806,-0.078172,-0.119924,-0.020531,0.204581,-0.719437,-0.663745,0.006235,0.001252,0.000399,-29.761292,-13.141121,-33.980522,,,,,,,
1512177485.243962,0.296846,0.801468,-2.922114,-0.059801,-0.110246,-0.034086,0.203482,-0.718378,-0.665227,-0.003409,0.004572,0.002935,-30.062332,-13.366570,-34.053078,,,,,,,
1512177485.263951,0.295786,0.800632,-2.922731,-0.020433,-0.050384,-0.026912,0.202952,-0.717796,-0.666017,-0.009685,0.007881,0.002657,-30.209030,-12.616798,-34.201454,,,,,,,
1512177485.283971,0.295691,0.800611,-2.923263,0.010212,-0.020465,-0.009308,0.202893,-0.717782,-0.666051,0.000659,-0.000892,0.000157,-30.135956,-13.066689,-33.977303,,,,,,,
1512177485.303960,0.295178,0.800661,-2.923288,-0.006001,-0.032268,0.003207,0.202541,-0.717817,-0.666120,-0.002498,0.000089,0.006498,-30.210754,-12.991798,-34.276634,,,,,,,
1512177485.323949,0.294157,0.800227,-2.923138,-0.033585,-0.057926,-0.005809,0.201951,-0.717515,-0.666625,-0.003114,0.004181,0.005538,-29.912338,-13.366356,-34.054359,,,,,,,
