  time_unix,rotate_x,rotate_y,rotate_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
  1512178327,0.0434,0.0284,0.0052,430.85,-313.84,1123.47,-57,-151,76
  1512178327,0.0380,0.0262,0.0043,427.25,-313.48,1083.80,-57,-151,76
  1512178327,0.0414,0.0332,0.0045,435.18,-316.96,1094.91,-57,-151,76
  1512178327,0.0431,0.0254,0.0039,430.24,-311.52,1102.54,-52,-149,71
  1512178327,0.0386,0.0264,0.0041,423.40,-326.78,1091.25,-52,-149,71
  1512178327,0.0382,0.0269,0.0037,428.71,-317.38,1091.74,-52,-149,71
  1512178327,0.0414,0.0258,0.0039,430.42,-312.19,1099.85,-52,-149,71
  1512178327,0.0364,0.0238,0.0037,423.28,-326.05,1085.51,-52,-149,71
  1512178327,0.0390,0.0266,0.0049,435.18,-320.07,1115.11,-68,-158,69
  1512178327,0.0368,0.0254,0.0029,429.20,-313.23,1087.28,-68,-158,69
  1512178327,0.0368,0.0278,0.0056,426.15,-322.81,1093.75,-68,-158,69
  1512178327,0.0361,0.0249,0.0036,430.30,-321.29,1084.47,-68,-158,69
  1512178327,0.0378,0.0260,0.0028,431.27,-317.44,1078.06,-56,-160,67
  1512178327,0.0382,0.0330,0.0036,433.53,-320.56,1103.09,-56,-160,67
  1512178327,0.0451,0.0284,0.0044,432.86,-311.65,1109.13,-56,-160,67
  1512178327,0.0418,0.0294,0.0025,423.28,-317.81,1093.57,-56,-160,67
  1512178327,0.0413,0.0317,0.0045,437.01,-321.47,1097.66,-56,-160,67
  1512178327,0.0453,0.0265,0.0032,430.97,-310.36,1106.69,-65,-141,79
  1512178327,0.0382,0.0265,0.0039,421.02,-325.32,1093.02,-65,-141,79
  1512178327,0.0386,0.0282,0.0039,427.67,-318.18,1082.58,-65,-141,79
  1512178327,0.0399,0.0272,0.0040,428.83,-313.23,1090.76,-65,-141,79
  1512178327,0.0370,0.0270,0.0037,422.61,-321.59,1086.18,-66,-163,64
  1512178327,0.0418,0.0277,0.0023,430.91,-318.91,1118.16,-66,-163,64
  1512178327,0.0386,0.0253,0.0029,433.96,-315.86,1076.29,-66,-163,64
  1512178327,0.0354,0.0281,0.0048,435.97,-324.58,1095.46,-66,-163,64
  1512178327,0.0450,0.0280,0.0029,433.35,-317.50,1119.81,-66,-163,64
  1512178327,0.0411,0.0278,0.0041,429.08,-319.89,1103.58,-59,-174,67
  1512178327,0.0350,0.0248,0.0036,435.49,-321.66,1084.78,-59,-174,67
  1512178328,0.0361,0.0252,0.0052,399.84,-334.59,1123.72,-59,-174,67
  1512178328,0.0353,0.0261,0.0089,396.12,-356.87,1086.91,-59,-174,67
  1512178328,0.0280,0.0213,0.0089,398.07,-355.65,1077.21,-59,-174,67
  1512178328,0.0354,0.0305,0.0127,404.54,-352.29,1099.00,-65,-144,69
  1512178328,0.0328,0.0345,0.0157,374.76,-366.88,1109.62,-65,-144,69
  1512178328,0.0450,0.0341,0.0148,396.55,-351.68,1126.83,-65,-144,69
  1512178328,0.0372,0.0285,0.0121,374.15,-367.74,1095.95,-65,-144,69
  1512178328,0.0419,0.0277,0.0127,387.45,-364.20,1089.36,-72,-151,76
  1512178328,0.0358,0.0253,0.0107,391.78,-356.81,1119.38,-72,-151,76
  1512178328,0.0372,0.0269,0.0116,383.42,-359.37,1090.45,-72,-151,76
  1512178328,0.0399,0.0274,0.0153,392.03,-363.28,1092.41,-72,-151,76
  1512178328,0.0437,0.0246,0.0160,405.21,-349.61,1104.00,-72,-151,76
  1512178328,0.0394,0.0244,0.0218,390.69,-373.66,1095.52,-66,-153,81
  1512178328,0.0385,0.0240,0.0241,400.45,-370.48,1097.47,-66,-153,81
  1512178328,0.0401,0.0253,0.0241,405.21,-359.62,1095.76,-66,-153,81
  1512178328,0.0410,0.0286,0.0269,383.12,-374.82,1096.62,-66,-153,81
  1512178328,0.0437,0.0288,0.0254,391.85,-368.04,1096.37,-66,-153,81
  1512178328,0.0419,0.0310,0.0270,394.35,-358.89,1101.81,-61,-162,79
  1512178328,0.0391,0.0297,0.0286,373.54,-379.76,1099.91,-61,-162,79
  1512178328,0.0442,0.0292,0.0286,389.28,-358.52,1097.35,-61,-162,79
