RTC has set the system time
Mag Calibration: Wave device in a figure 8 until done!
4 seconds to get ready followed by 15 seconds of sampling)
Mag Calibration done!
time_unix,rotate_x,rotate_y,rotate_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
1512178557,-0.0112,0.0024,-0.0024,-42.60,-1.10,935.30,-3,5,1
1512178557,0.0262,-0.0033,0.0008,-51.70,-0.55,938.35,-3,5,1
1512178557,0.0108,0.0003,-0.0016,-37.35,7.81,967.29,-3,5,1
1512178557,-0.0083,0.0012,-0.0007,-54.20,2.50,952.27,5,-3,-6
1512178557,0.0112,0.0001,-0.0011,-45.04,-9.16,939.58,5,-3,-6
1512178557,0.0228,-0.0012,-0.0023,-43.52,6.59,954.96,5,-3,-6
1512178557,0.0169,0.0000,-0.0005,-48.58,6.04,948.49,5,-3,-6
1512178557,-0.0146,0.0004,-0.0005,-43.64,-1.53,955.38,5,-3,-6
1512178557,0.0103,-0.0008,-0.0019,-44.92,0.37,952.45,5,14,3
1512178557,0.0246,-0.0036,-0.0001,-49.93,5.07,941.77,5,14,3
1512178557,0.0092,-0.0001,-0.0016,-41.38,4.94,965.94,5,14,3
1512178557,-0.0076,0.0001,-0.0013,-52.19,4.39,944.15,5,14,3
1512178557,-0.0040,0.0039,-0.0023,-39.67,-10.25,952.88,-5,10,-13
1512178557,0.0166,-0.0017,-0.0016,-44.86,8.79,969.48,-5,10,-13
1512178557,0.0019,-0.0005,-0.0001,-54.14,6.04,951.90,-5,10,-13
1512178557,-0.0153,0.0039,-0.0023,-43.03,-5.37,953.92,-5,10,-13
1512178557,-0.0089,0.0020,-0.0016,-48.10,-1.22,945.74,-5,10,-13
1512178557,0.0236,-0.0031,0.0000,-51.76,8.61,954.65,-1,3,-10
1512178557,-0.0073,-0.0003,-0.0007,-49.26,-2.08,963.62,-1,3,-10
1512178557,-0.0188,0.0028,-0.0016,-45.41,-3.78,941.35,-1,3,-10
1512178557,0.0150,0.0032,0.0005,-24.60,3.97,976.75,-1,3,-10
1512178557,0.0077,-0.0092,0.0009,-65.49,-11.66,949.04,-1,3,-10
1512178557,-0.0238,0.0056,-0.0020,-67.69,-18.98,952.27,-5,10,-16
