RTC has set the system time
Mag Calibration: Wave device in a figure 8 until done!
  4 seconds to get ready followed by 15 seconds of sampling)
  Mag Calibration done!
  time_unix,rotate_x,rotate_y,rotate_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
  1512178902,-0.0249,-0.0019,-0.0008,-3.17,-50.48,984.68,-3,-8,0
  1512178902,0.0144,0.0031,0.0004,3.30,-36.38,1013.06,-3,-8,0
  1512178902,0.0258,0.0036,0.0005,2.26,-28.08,1007.32,-3,-8,0
  1512178902,-0.0194,0.0019,0.0008,-1.89,-42.66,1000.31,17,5,-6
  1512178902,-0.0013,0.0011,-0.0008,6.35,-47.85,995.30,17,5,-6
  1512178902,0.0241,0.0047,0.0001,-1.83,-38.15,994.45,17,5,-6
  1512178902,0.0080,0.0053,-0.0019,0.61,-37.29,1010.93,17,5,-6
  1512178902,-0.0027,-0.0005,-0.0013,3.66,-45.84,1001.89,-7,12,-10
  1512178902,0.0116,0.0035,-0.0017,-5.43,-43.52,980.10,-7,12,-10
  1512178902,0.0178,0.0063,-0.0005,-0.37,-31.49,1024.17,-7,12,-10
  1512178902,-0.0160,-0.0037,-0.0013,-0.37,-42.91,1001.22,-7,12,-10
  1512178902,-0.0205,-0.0011,-0.0007,-2.38,-55.60,969.12,-7,12,-10
  1512178902,0.0071,0.0016,-0.0008,3.91,-45.53,1000.00,-5,7,-5
  1512178902,0.0201,0.0017,0.0008,-0.18,-30.76,1003.66,-5,7,-5
  1512178902,-0.0302,-0.0021,-0.0013,-4.58,-54.26,978.09,-5,7,-5
  1512178902,-0.0024,0.0003,-0.0019,6.77,-47.85,987.37,-5,7,-5
  1512178902,0.0190,0.0040,-0.0017,-5.98,-45.04,984.25,-5,7,-5
  1512178902,0.0157,0.0045,0.0000,3.23,-30.03,1023.32,-8,10,1
  1512178902,-0.0162,-0.0033,-0.0020,0.37,-45.96,995.73,-8,10,1
  1512178902,-0.0194,-0.0029,0.0003,-2.87,-54.87,964.29,-8,10,1
  1512178902,0.0116,0.0036,-0.0001,7.51,-45.53,1002.56,-8,10,1
  1512178902,0.0234,0.0041,0.0012,-2.26,-28.26,1001.46,0,1,0
  1512178902,-0.0321,-0.0027,-0.0013,-5.13,-55.48,976.81,0,1,0
  1512178902,0.0225,0.0015,0.0008,36.50,-47.67,1029.60,0,1,0
  1512178902,0.0240,-0.0032,-0.0063,-26.31,-97.84,1025.88,0,1,0
  1512178902,0.0105,0.0013,-0.0012,-43.15,-59.81,997.99,0,1,0
  1512178902,0.0224,0.0004,-0.0020,-37.78,-87.46,1043.58,5,14,8
  1512178902,0.0089,0.0052,0.0016,-51.03,-81.12,1001.77,5,14,8
  1512178903,0.0273,0.0059,0.0008,-33.51,-64.58,1051.82,5,14,8
  1512178903,-0.0004,0.0043,0.0013,-23.44,-64.70,1022.16,5,14,8
  1512178903,-0.0134,0.0023,0.0028,-35.58,-83.31,992.68,5,14,8
  1512178903,-0.0105,-0.0004,0.0009,-31.07,-83.13,1004.88,0,8,6
  1512178903,-0.0017,0.0025,0.0007,-33.57,-63.90,1002.08,0,8,6
  1512178903,-0.0286,-0.0004,-0.0019,-40.47,-94.85,984.68,0,8,6
  1512178903,-0.0008,0.0001,-0.0011,-27.65,-70.80,1002.62,0,8,6
  1512178903,0.0013,0.0025,-0.0001,-42.30,-77.45,984.19,-14,-1,10
  1512178903,-0.0041,0.0001,0.0000,-28.50,-68.36,1008.12,-14,-1,10
  1512178903,0.0009,-0.0013,0.0013,-17.82,-64.70,1001.65,-14,-1,10
  1512178903,-0.0035,0.0015,0.0024,-43.09,-82.03,982.48,-14,-1,10
  1512178903,-0.0099,0.0015,0.0015,-30.40,-78.61,1006.65,-14,-1,10
  1512178903,-0.0027,-0.0003,-0.0004,-22.34,-65.67,1001.28,-8,3,18
  1512178903,-0.0084,0.0003,0.0009,-45.04,-85.27,981.02,-8,3,18
  1512178903,-0.0020,0.0008,0.0008,-32.96,-71.66,1004.82,-8,3,18
  1512178903,0.0008,-0.0004,-0.0004,-26.12,-64.21,1003.17,-8,3,18
  1512178903,-0.0076,-0.0007,0.0007,-46.94,-86.06,990.97,-8,3,18
  1512178903,-0.0023,-0.0005,0.0005,-30.21,-61.04,1011.72,-22,-10,11
  1512178903,-0.0028,-0.0031,-0.0009,-23.13,-65.43,1001.04,-22,-10,11
  1512178903,-0.0119,-0.0019,0.0013,-43.58,-89.36,979.61,-22,-10,11
  1512178903,-0.0091,-0.0004,0.0012,-24.78,-67.20,1007.39,-22,-10,11
  1512178903,-0.0023,-0.0013,0.0009,-31.80,-69.40,1003.97,0,-1,6
  1512178903,-0.0052,0.0008,-0.0001,-48.71,-90.33,988.28,0,-1,6
  1512178903,-0.0019,0.0015,-0.0009,-30.70,-72.63,1010.25,0,-1,6
  1512178903,0.0031,0.0023,0.0005,-30.40,-68.42,999.76,0,-1,6
