time_unix,rotate_x,rotate_y,rotate_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
1512180020,-0.0081,0.0029,-0.0012,-9.16,-33.81,978.21,-49,19,-25
1512180020,0.0020,0.0009,-0.0005,0.92,-35.40,971.56,-49,19,-25
1512180020,0.0093,-0.0024,-0.0019,-6.47,-28.99,1003.48,-49,19,-25
1512180020,-0.0117,0.0059,-0.0007,-13.98,-35.03,997.44,-45,-15,-18
1512180020,-0.0075,0.0037,-0.0001,-7.20,-36.50,989.87,-45,-15,-18
1512180020,0.0076,-0.0024,-0.0009,-1.65,-30.64,975.16,-45,-15,-18
1512180020,-0.0073,0.0044,-0.0009,-15.08,-40.47,1014.34,-45,-15,-18
1512180020,-0.0120,0.0071,-0.0020,-2.69,-40.83,1007.93,-36,-14,-13
1512180020,-0.0063,0.0027,-0.0020,-7.93,-31.49,977.60,-36,-14,-13
1512180020,0.0101,-0.0032,-0.0024,3.78,-38.70,981.14,-36,-14,-13
1512180020,-0.0087,0.0047,-0.0017,-4.94,-44.01,1032.04,-36,-14,-13
1512180020,-0.0076,0.0044,-0.0017,-12.45,-36.19,985.35,-36,-14,-13
1512180020,-0.0037,0.0029,-0.0004,0.00,-38.51,985.17,-26,3,-30
1512180020,0.0162,-0.0060,-0.0023,-9.16,-27.65,997.62,-26,3,-30
1512180020,-0.0101,0.0036,-0.0013,-13.85,-41.69,1013.61,-26,3,-30
1512180020,-0.0091,0.0060,0.0012,-2.99,-39.06,994.75,-26,3,-30
1512180020,0.0008,0.0016,-0.0015,-0.92,-29.36,970.34,-26,3,-30
1512180020,0.0096,-0.0028,-0.0019,-7.20,-39.31,988.53,-43,3,-16
1512180020,-0.0093,0.0040,-0.0020,-5.19,-39.43,1029.60,-43,3,-16
1512180020,-0.0089,0.0055,-0.0004,-9.95,-39.37,979.74,-43,3,-16
1512180020,0.0023,0.0012,-0.0007,-0.73,-37.41,973.45,-43,3,-16
1512180020,0.0028,0.0015,-0.0019,-7.93,-38.57,1033.39,-54,0,-13
1512180020,-0.0069,0.0039,-0.0003,-9.40,-34.12,996.83,-54,0,-13
1512180020,-0.0112,0.0051,-0.0008,-4.94,-42.11,991.94,-54,0,-13
1512180020,0.0061,-0.0036,-0.0008,-0.67,-28.99,976.75,-54,0,-13
1512180020,-0.0044,0.0025,-0.0020,-15.75,-40.41,1017.64,-54,0,-13
1512180020,-0.0129,0.0052,-0.0028,-2.93,-38.21,1012.63,-33,10,-23
1512180020,-0.0056,0.0020,-0.0013,-11.29,-34.00,976.44,-33,10,-23
1512180021,0.0091,-0.0041,-0.0020,-1.53,-37.78,976.81,-33,10,-23
1512180021,-0.0063,0.0063,0.0000,-2.01,-33.57,1016.30,-33,10,-23
1512180021,-0.0088,0.0052,-0.0013,-8.48,-37.23,985.66,-33,10,-23
1512180021,-0.0056,0.0000,-0.0013,-6.04,-39.37,977.84,-31,5,-28
1512180021,0.0072,-0.0027,-0.0028,-3.85,-36.32,1035.10,-31,5,-28
1512180021,-0.0101,0.0061,-0.0013,-18.68,-39.92,1008.06,-31,5,-28
1512180021,-0.0080,0.0056,-0.0012,-4.39,-35.89,1000.73,-31,5,-28
1512180021,0.0003,0.0004,-0.0019,-2.99,-34.97,974.67,-38,-5,-28
1512180021,0.0055,0.0007,-0.0024,-19.59,-43.33,1013.92,-38,-5,-28
1512180021,-0.0108,0.0048,-0.0032,-4.64,-40.41,1025.63,-38,-5,-28
1512180021,-0.0089,0.0049,-0.0003,-9.95,-36.87,984.31,-38,-5,-28
1512180021,0.0069,-0.0008,-0.0015,-13.06,-34.97,992.98,-38,-5,-28
1512180021,0.0013,0.0025,-0.0020,-7.45,-35.52,1028.56,-54,7,-13
1512180021,-0.0097,0.0064,-0.0012,-14.16,-36.19,1002.62,-54,7,-13
1512180021,-0.0105,0.0036,-0.0005,-4.70,-39.61,984.99,-54,7,-13
1512180021,0.0077,-0.0025,-0.0012,-7.45,-27.53,1017.58,-54,7,-13
1512180021,-0.0060,0.0051,-0.0004,-12.21,-41.32,1011.54,-54,7,-13
1512180021,-0.0119,0.0047,-0.0007,-10.38,-43.82,1000.31,-42,8,-18
1512180021,-0.0053,0.0016,-0.0012,-7.57,-33.75,977.36,-42,8,-18
1512180021,0.0007,0.0004,-0.0019,-14.71,-39.86,1006.04,-42,8,-18
1512180021,-0.0088,0.0049,-0.0013,-7.02,-39.86,1026.00,-42,8,-18
1512180021,-0.0028,0.0009,0.0001,-8.00,-32.96,977.23,-43,3,-13
1512180021,-0.0001,0.0044,-0.0008,2.75,-47.30,985.60,-43,3,-13
1512180021,-0.0052,0.0051,-0.0013,-12.02,-47.12,1022.58,-43,3,-13
1512180021,-0.0136,0.0077,0.0004,-24.48,-55.18,990.97,-43,3,-13
1512180021,-0.0044,0.0032,-0.0024,-34.06,-63.84,997.13,-43,3,-13
1512180021,0.0053,0.0003,-0.0023,-31.98,-48.95,1011.54,-28,12,-18
