TC has set the system time
Mag Calibration: Wave device in a figure 8 until done!
4 seconds to get ready followed by 15 seconds of sampling)
Mag Calibration done!
time_unix,rotate_x,rotate_y,rotate_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
1512180456,0.0047,0.0039,-0.0177,-3.48,-32.53,946.47,7,5,8
1512180456,0.0037,0.0048,-0.0178,2.14,-29.54,959.72,7,5,8
1512180456,-0.0043,0.0011,-0.0181,-0.31,-27.22,969.60,7,5,8
1512180456,-0.0003,0.0024,-0.0178,-4.09,-41.75,964.60,7,15,1
1512180456,0.0053,0.0048,-0.0177,-0.79,-21.79,963.68,7,15,1
1512180456,-0.0056,0.0019,-0.0172,1.71,-28.63,969.67,7,15,1
1512180456,-0.0003,0.0025,-0.0176,-0.92,-36.44,967.53,7,15,1
1512180456,0.0049,0.0029,-0.0161,-0.18,-30.88,969.18,7,15,1
1512180456,0.0009,0.0032,-0.0184,-3.23,-15.26,955.26,3,1,11
1512180456,0.0001,0.0060,-0.0181,1.95,-31.56,963.20,3,1,11
1512180456,-0.0029,-0.0007,-0.0180,-1.04,-29.60,973.69,3,1,11
1512180456,0.0061,0.0029,-0.0173,-7.81,-29.91,947.45,3,1,11
1512180456,-0.0004,0.0045,-0.0176,2.14,-27.10,965.64,5,3,-3
1512180456,-0.0020,0.0027,-0.0180,0.06,-27.34,974.85,5,3,-3
1512180456,0.0037,0.0037,-0.0172,-2.20,-35.89,964.17,5,3,-3
1512180456,0.0024,0.0036,-0.0162,6.84,-27.40,961.49,5,3,-3
1512180456,0.0059,0.0033,-0.0169,2.14,-19.10,949.52,5,3,-3
1512180456,-0.0027,0.0041,-0.0170,2.32,-33.02,964.11,0,5,-8
1512180456,-0.0028,-0.0005,-0.0188,-3.36,-32.71,977.54,0,5,-8
1512180456,0.0025,0.0019,-0.0172,-4.70,-28.14,953.67,0,5,-8
1512180456,0.0024,0.0048,-0.0185,3.54,-30.64,958.44,0,5,-8
1512180456,0.0005,0.0015,-0.0194,-1.04,-34.24,973.57,10,8,1
1512180456,0.0047,0.0021,-0.0164,-9.28,-42.05,950.50,10,8,1
1512180456,-0.0013,0.0047,-0.0170,-5.68,-56.70,973.45,10,8,1
1512180456,-0.0016,0.0029,-0.0170,-2.50,-56.46,965.64,10,8,1
1512180456,-0.0003,0.0036,-0.0165,-9.70,-75.44,956.30,10,8,1
1512180456,0.0005,0.0057,-0.0164,-8.30,-76.17,972.96,-12,-3,-3
1512180456,-0.0048,0.0037,-0.0145,-5.55,-63.29,974.61,-12,-3,-3
1512180457,-0.0125,0.0041,-0.0154,-8.12,-87.59,992.74,-12,-3,-3
1512180457,0.0091,0.0045,-0.0158,-13.43,-73.24,967.47,-12,-3,-3
1512180457,0.0128,0.0059,-0.0154,-14.16,-68.36,944.82,-12,-3,-3
1512180457,0.0084,0.0076,-0.0154,-2.38,-80.14,973.45,3,-1,18
1512180457,0.0052,0.0061,-0.0177,-8.97,-71.53,955.93,3,-1,18
1512180457,0.0033,0.0059,-0.0166,-11.41,-83.07,946.04,3,-1,18
1512180457,0.0051,0.0059,-0.0149,-6.47,-83.07,965.76,3,-1,18
1512180457,-0.0075,-0.0005,-0.0166,-7.32,-64.51,979.43,8,17,16
1512180457,0.0020,0.0041,-0.0154,-12.27,-85.08,968.51,8,17,16
1512180457,-0.0007,0.0059,-0.0160,-7.14,-76.90,968.99,8,17,16
1512180457,-0.0095,-0.0012,-0.0173,-11.05,-62.62,975.59,8,17,16
1512180457,0.0009,0.0031,-0.0174,-12.70,-88.81,972.11,8,17,16
1512180457,-0.0041,0.0040,-0.0189,-8.36,-83.31,968.87,0,8,11
1512180457,-0.0027,-0.0004,-0.0192,-9.95,-63.23,972.66,0,8,11
1512180457,0.0100,0.0067,-0.0168,-14.59,-83.37,965.82,0,8,11
1512180457,0.0051,0.0047,-0.0184,-4.82,-75.87,973.21,0,8,11
1512180457,0.0117,0.0049,-0.0166,-12.08,-57.68,969.18,-5,3,3
1512180457,0.0067,0.0079,-0.0158,-11.29,-87.40,965.94,-5,3,3
1512180457,0.0052,0.0076,-0.0148,-8.24,-66.77,973.75,-5,3,3
1512180457,0.0105,0.0091,-0.0162,-9.34,-56.21,962.89,-5,3,3
1512180457,0.0088,0.0093,-0.0169,-9.16,-86.43,949.46,-5,3,3
1512180457,0.0138,0.0087,-0.0184,-7.39,-61.89,964.60,12,3,23
1512180457,0.0095,0.0073,-0.0193,-12.70,-62.07,955.32,12,3,23
