accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.336 0.243 0.07835388 6.155731 7.7424774
0.336 0.263 0.19413757 6.0983734 7.7405243
0.336 0.283 0.42782593 6.155075 8.233765
0.336 0.304 0.46592712 5.9978333 8.57106
0.344 0.324 0.19657898 5.7677155 8.606445
0.361 0.344 -0.093063354 5.447342 8.330536
0.381 0.364 -0.19691467 5.2832336 7.9808807
0.401 0.384 -0.35549927 5.2696075 7.674408
0.421 0.404 -0.29675293 5.3842773 7.584961
0.444 0.424 0.26860046 5.68515 8.001434
0.461 0.445 0.36940002 5.9068604 7.9453735
0.481 0.465 0.37397766 5.953293 7.754196
0.501 0.485 0.37330627 5.931595 7.6078186
0.546 0.505 0.40795898 6.0450287 7.4937744
0.547 0.525 0.40693665 6.1799164 7.588028
0.564 0.545 0.67977905 6.2088623 7.937607
0.580 0.565 0.68507385 6.237961 8.058975
0.600 0.586 0.47203064 6.2130127 7.953064
0.621 0.606 0.40197754 6.082443 7.914917
0.641 0.626 0.16770935 5.9851685 7.84079
0.660 0.646 0.042144775 5.9401703 7.804962
0.679 0.666 -0.16838074 5.83696 8.072922
0.699 0.686 -0.41496277 5.756073 8.265442
0.720 0.706 -0.39337158 5.689728 8.299286
0.739 0.727 -0.43756104 5.6065674 8.471741
0.759 0.747 -0.5188904 5.563797 8.535553
0.779 0.767 -0.51867676 5.5565643 8.250595
0.799 0.787 -0.3989563 5.7903595 7.5200195
0.819 0.807 -0.3815918 6.109192 7.2350464
0.839 0.827 -0.35157776 6.21138 7.1909943
0.859 0.847 -0.085998535 6.0587616 7.1922913
0.879 0.868 -0.14971924 6.151596 7.4833984
0.899 0.888 -0.46070862 6.0796967 7.744934
0.918 0.908 -0.49728394 5.918976 7.75264
0.939 0.928 -0.49942017 6.0847015 8.009613
0.959 0.948 -0.42330933 6.2919617 8.469376
0.979 0.968 -0.25195313 6.125824 8.244034
0.998 0.988 -0.49719238 6.1834106 8.023514
1.019 1.009 -0.71455383 6.0473175 7.692978
1.038 1.029 -0.7049713 5.731949 7.2740784
1.058 1.049 -0.92826843 5.862091 7.2173615
1.079 1.069 -0.8374939 5.7737427 7.41951
1.098 1.089 -0.53189087 5.687912 7.3687286
1.118 1.109 -0.42996216 5.764145 7.4446564
1.138 1.129 -0.61613464 5.834244 7.7378845
1.158 1.150 -0.7997894 5.8402863 7.7032013
1.178 1.170 -0.8126221 5.797821 7.7236023
1.197 1.190 -0.79829407 6.1157074 7.8994293
1.218 1.210 -0.41537476 6.3727417 8.21611
1.238 1.230 -0.28334045 6.337738 8.584045
1.258 1.250 -0.46905518 5.8703613 9.127945
1.277 1.270 -0.5891876 5.26062 9.346802
1.297 1.291 -1.07724 4.844284 8.987213
1.317 1.311 -1.207901 4.795685 8.3349
1.337 1.331 -0.46470642 4.933426 7.6262207
1.357 1.351 -0.3634491 5.6316986 7.295105
1.377 1.371 -0.048309326 5.9830627 7.238449
1.397 1.391 0.31903076 6.097351 7.6115875
1.417 1.411 0.38607788 6.098007 7.969681
1.436 1.432 -0.29997253 6.186203 7.7617493
1.456 1.452 -0.425354 5.8319244 7.3553467
1.476 1.472 -0.2859192 6.532364 7.285858
1.496 1.492 0.58992004 6.1011047 8.026474
1.521 1.512 0.3890686 6.123749 8.767792
1.538 1.532 -0.21414185 5.1972046 8.215942
1.556 1.552 -1.1201782 5.0231476 7.2016907
1.577 1.573 -1.4411469 4.6868134 6.549713
1.596 1.593 -1.2519379 5.0904694 6.298889
1.619 1.613 -0.8081665 6.362152 6.854431
1.656 1.633 0.42504883 6.59494 8.30426
1.676 1.653 0.48962402 6.695282 9.858139
1.696 1.673 0.25854492 6.46727 10.466278
1.717 1.693 -0.4653473 5.2493286 10.41922
1.736 1.714 -1.2129211 5.1725464 8.691055
1.755 1.734 -1.4378815 4.833679 6.917755
1.776 1.754 -1.5535126 5.7704926 6.0174103
1.795 1.774 -0.4995575 6.229889 6.199478
1.817 1.794 0.52835083 6.6950073 7.5459747
1.837 1.814 0.6390686 6.859314 8.884796
1.855 1.834 -0.013076782 5.5440674 9.488052
1.875 1.855 -1.2641602 5.379135 8.812485
1.895 1.875 -1.5892487 5.0228577 7.5233765
1.917 1.895 -0.9412384 5.3301697 6.3855896
1.935 1.915 -0.44987488 6.499893 6.352295
1.954 1.935 0.1653595 6.5074005 6.860214
1.974 1.955 0.08305359 6.326706 7.7838593
1.996 1.975 -0.804245 6.4052887 9.253662
2.016 1.996 -1.0648499 5.1036987 9.753174
2.034 2.016 -1.6423645 5.31427 9.009827
2.054 2.036 -1.5107117 5.1716766 7.547821
2.074 2.056 -1.7023163 5.778885 6.7057343
2.094 2.076 -2.1215515 6.2203674 6.3412323
2.117 2.096 -1.1567383 6.238388 7.0004883
2.134 2.116 -0.3199463 6.8927155 8.6536255
2.154 2.137 0.40611267 6.794693 10.087921
2.174 2.157 0.03189087 5.839691 11.033569
2.193 2.177 -1.431488 5.2491302 10.619766
2.214 2.197 -1.9061432 4.502655 8.672348
2.233 2.217 -1.7495422 4.7044373 6.5857697
2.253 2.237 -1.5375366 5.3348846 5.4768524
2.273 2.257 -1.4183655 5.8691254 4.786209
2.294 2.278 -1.1177216 6.1819153 5.01799
2.313 2.298 -0.13626099 6.534775 7.0717163
2.334 2.318 0.9012604 6.188446 9.569977
2.353 2.338 0.010635376 5.861038 10.508789
2.373 2.358 -1.1403656 4.691986 8.88179
2.394 2.378 -2.0327606 4.677597 7.036911
2.413 2.398 -1.4114075 5.233841 6.327301
2.434 2.419 0.00541687 5.94693 6.8812256
2.453 2.439 0.15240479 6.69252 7.765167
2.473 2.459 -0.29606628 6.55719 8.12207
2.492 2.479 -0.3285675 6.034424 8.88092
2.514 2.499 -0.2342987 5.8434753 9.681931
2.533 2.519 -0.51667786 5.786392 9.243301
2.552 2.539 -1.052475 5.5186005 7.929764
