magnetometer-calibrated.txt

All values are in micro-Tesla (uT).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.382 0.364 -14.920044 -13.230896 -54.47693
0.402 0.384 -15.135193 -14.083862 -54.68445
0.423 0.404 -15.367126 -15.342712 -54.803467
0.445 0.424 -14.920044 -14.230347 -54.151917
0.462 0.445 -14.625549 -14.289856 -53.74756
0.482 0.465 -14.085388 -14.154053 -53.485107
0.502 0.485 -14.085388 -13.731384 -54.31366
0.548 0.505 -14.151001 -14.054871 -54.50287
0.548 0.525 -14.318848 -14.630127 -54.478455
0.564 0.545 -14.419556 -14.729309 -53.988647
0.581 0.565 -14.208984 -14.93988 -54.193115
0.600 0.586 -14.639282 -14.5095825 -54.75769
0.621 0.606 -15.588379 -13.563538 -55.12848
0.641 0.626 -14.831543 -14.016724 -54.83246
0.661 0.646 -14.228821 -15.180969 -54.325867
0.680 0.666 -14.585876 -15.893555 -54.151917
0.701 0.686 -14.910889 -14.924622 -54.785156
0.721 0.706 -15.420532 -14.064026 -55.455017
0.740 0.727 -15.588379 -14.230347 -55.455017
0.760 0.747 -13.768005 -14.317322 -55.708313
0.780 0.767 -12.876892 -15.1901245 -55.1651
0.800 0.787 -13.583374 -15.893555 -54.47693
0.820 0.807 -13.215637 -14.424133 -54.83551
0.841 0.827 -12.258911 -13.88855 -54.66919
0.860 0.847 -11.747742 -14.3966675 -54.31366
0.880 0.868 -12.333679 -14.202881 -54.31366
0.899 0.888 -13.246155 -14.559937 -54.992676
0.919 0.908 -13.583374 -14.89563 -55.455017
0.939 0.928 -12.454224 -14.38446 -54.751587
0.959 0.948 -13.006592 -14.064026 -54.31366
0.979 0.968 -13.751221 -14.064026 -54.31366
0.999 0.988 -13.208008 -14.822388 -55.055237
1.019 1.009 -14.134216 -14.677429 -55.34668
1.039 1.029 -14.753723 -14.3966675 -55.291748
1.059 1.049 -13.496399 -14.511108 -56.071472
1.079 1.069 -13.032532 -15.141296 -55.638123
1.099 1.089 -13.082886 -15.394592 -55.291748
1.118 1.109 -13.442993 -15.037537 -55.87616
1.139 1.129 -13.342285 -15.623474 -55.630493
1.159 1.150 -13.250732 -15.893555 -55.455017
1.180 1.170 -13.250732 -15.144348 -55.455017
1.198 1.190 -13.378906 -15.023804 -55.82733
1.218 1.210 -13.417053 -15.061951 -55.9433
1.240 1.230 -12.501526 -14.4104 -55.815125
1.258 1.250 -13.844299 -13.435364 -56.03943
1.278 1.270 -14.251709 -13.230896 -56.106567
1.298 1.291 -13.978577 -12.687683 -55.57251
1.318 1.311 -15.026855 -13.117981 -55.455017
1.339 1.331 -15.254211 -13.230896 -55.455017
1.358 1.351 -14.970398 -11.81488 -56.840515
1.378 1.371 -13.912964 -13.145447 -56.941223
1.397 1.391 -13.751221 -13.397217 -56.91986
1.418 1.411 -14.491272 -12.367249 -56.77643
1.438 1.432 -15.783691 -12.532043 -58.215332
1.457 1.452 -15.922546 -12.565613 -58.38623
1.477 1.472 -14.851379 -13.94043 -56.44226
1.497 1.492 -14.753723 -12.208557 -57.781982
1.522 1.512 -14.753723 -12.06665 -57.89795
1.539 1.532 -13.801575 -14.283752 -56.967163
1.557 1.552 -16.003418 -11.192322 -56.2912
1.577 1.573 -16.088867 -11.068726 -56.26831
1.597 1.593 -14.775085 -13.691711 -57.87201
1.621 1.613 -13.757324 -12.406921 -57.247925
1.658 1.633 -13.763428 -12.40387 -57.2464
1.677 1.653 -15.274048 -12.911987 -57.426453
1.697 1.673 -16.255188 -13.563538 -58.38623
1.718 1.693 -16.229248 -13.497925 -58.320618
1.736 1.714 -15.615845 -11.857605 -56.78253
1.757 1.734 -16.088867 -11.068726 -57.2464
1.776 1.754 -15.966797 -11.216736 -57.269287
1.796 1.774 -14.491272 -13.108826 -57.585144
1.817 1.794 -15.254211 -13.563538 -57.73468
1.838 1.814 -15.254211 -13.456726 -57.699585
1.857 1.834 -15.274048 -12.428284 -57.466125
1.876 1.855 -15.420532 -11.401367 -57.89795
1.896 1.875 -15.467834 -11.495972 -57.989502
1.919 1.895 -15.527344 -12.142944 -58.37555
1.935 1.915 -14.251709 -12.565613 -57.409668
1.956 1.935 -14.193726 -12.449646 -57.351685
1.975 1.955 -13.856506 -11.715698 -57.444763
1.996 1.975 -13.583374 -10.902405 -59.03778
2.016 1.996 -14.105225 -10.9375 -58.935547
2.035 2.016 -16.053772 -10.960388 -58.369446
2.056 2.036 -15.922546 -10.568237 -57.73468
2.075 2.056 -15.802002 -10.690308 -57.772827
2.095 2.076 -14.99939 -11.068726 -58.473206
2.119 2.096 -13.751221 -11.068726 -60.177612
2.136 2.116 -13.890076 -11.38916 -59.4162
2.155 2.137 -14.491272 -11.711121 -57.548523
2.174 2.157 -15.086365 -10.4019165 -57.89795
2.194 2.177 -15.396118 -10.60791 -58.09784
2.215 2.197 -16.357422 -10.696411 -58.914185
2.234 2.217 -16.923523 -9.902954 -59.68933
2.255 2.237 -16.012573 -10.244751 -59.910583
2.274 2.257 -13.839722 -10.961914 -60.05249
2.294 2.278 -13.082886 -11.068726 -59.526062
2.313 2.298 -13.772583 -10.8810425 -59.34143
2.334 2.318 -15.049744 -10.183716 -59.162903
2.355 2.338 -15.254211 -9.5703125 -59.36432
