gyroscope.txt

All values are in radians/second. Factory calibration and temperature compensation are still applied to the rate of rotation (angular speeds).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-drift-x estimated-drift-y estimated-drift-z
0.455 0.443 -0.087677 0.70503235 0.66586304 0.0326233 0.006210327 -0.0043640137
0.474 0.463 0.0038146973 0.86408997 0.8184662 0.0326233 0.006210327 -0.0043640137
0.494 0.483 -0.010620117 0.8148346 0.9809723 0.0326233 0.006210327 -0.0043640137
0.553 0.503 -0.019821167 0.7286682 1.0700684 0.0326233 0.006210327 -0.0043640137
0.553 0.524 0.06329346 0.66539 1.0945587 0.0326233 0.006210327 -0.0043640137
0.554 0.544 0.05949402 0.71110535 1.0916901 0.0326233 0.006210327 -0.0043640137
0.575 0.564 -0.062683105 0.85362244 1.1004181 0.0326233 0.006210327 -0.0043640137
0.593 0.584 -0.11833191 0.8708801 1.1037445 0.0326233 0.006210327 -0.0043640137
0.613 0.604 -0.082733154 0.7440338 1.0766296 0.0326233 0.006210327 -0.0043640137
0.632 0.624 -0.063446045 0.6884155 1.0432281 0.0326233 0.006210327 -0.0043640137
0.653 0.644 -0.02960205 0.7141571 1.0431519 0.0326233 0.006210327 -0.0043640137
0.672 0.664 -0.067840576 0.8581848 1.0945282 0.0326233 0.006210327 -0.0043640137
0.692 0.685 -0.1340332 1.0168457 1.1287384 0.0326233 0.006210327 -0.0043640137
0.713 0.705 -0.18087769 1.0470734 1.215622 0.0326233 0.006210327 -0.0043640137
0.734 0.725 -0.17410278 0.79634094 1.2667236 0.0326233 0.006210327 -0.0043640137
0.754 0.745 -0.055664063 0.48744202 1.3275757 0.0326233 0.006210327 -0.0043640137
0.774 0.765 0.055511475 0.43592834 1.3732147 0.0326233 0.006210327 -0.0043640137
0.794 0.785 0.16551208 0.5129852 1.4362793 0.0326233 0.006210327 -0.0043640137
0.813 0.805 0.26689148 0.54641724 1.4252319 0.0326233 0.006210327 -0.0043640137
0.833 0.826 0.09529114 0.48609924 1.4222565 0.0326233 0.006210327 -0.0043640137
0.853 0.846 -0.3017578 0.0973053 1.6393738 0.0326233 0.006210327 -0.0043640137
0.873 0.866 -0.50587463 -0.17854309 1.8457184 0.0326233 0.006210327 -0.0043640137
0.893 0.886 -0.4024048 -0.1829071 1.8446045 0.0326233 0.006210327 -0.0043640137
