magnetometer.txt

All values are in micro-Tesla (uT). Factory calibration and temperature compensation are applied to this measurement
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-bias-x estimated-bias-y estimated-bias-z
0.400 0.387 26.130676 19.055176 455.03693 16.769043 56.796265 472.1817
0.420 0.407 26.719666 19.128418 455.26886 16.769043 56.796265 472.1817
0.440 0.427 26.551819 19.802856 456.2561 16.769043 56.796265 472.1817
0.460 0.447 26.637268 19.02771 456.00433 16.769043 56.796265 472.1817
0.488 0.467 27.487183 19.410706 455.68542 16.769043 56.796265 472.1817
0.508 0.487 28.22113 20.46814 455.60455 16.769043 56.796265 472.1817
0.554 0.508 27.331543 19.580078 455.78003 16.769043 56.796265 472.1817
0.554 0.528 26.727295 18.626404 456.10352 16.769043 56.796265 472.1817
0.563 0.548 26.885986 18.470764 456.2561 16.769043 56.796265 472.1817
0.580 0.568 26.885986 19.018555 456.07758 16.769043 56.796265 472.1817
0.600 0.588 26.339722 19.470215 456.1081 16.769043 56.796265 472.1817
0.620 0.608 25.883484 19.470215 456.2561 16.769043 56.796265 472.1817
0.639 0.628 26.260376 19.657898 456.62537 16.769043 56.796265 472.1817
0.660 0.649 27.392578 20.640564 455.90515 16.769043 56.796265 472.1817
0.680 0.669 28.05481 21.299744 455.11627 16.769043 56.796265 472.1817
0.700 0.689 28.442383 19.55719 455.11627 16.769043 56.796265 472.1817
0.720 0.709 27.857971 18.591309 455.0232 16.769043 56.796265 472.1817
0.740 0.729 27.220154 18.803406 454.953 16.769043 56.796265 472.1817
0.760 0.749 26.719666 19.499207 455.2475 16.769043 56.796265 472.1817
0.782 0.769 27.175903 20.954895 456.21643 16.769043 56.796265 472.1817
0.800 0.790 27.720642 21.632385 456.7459 16.769043 56.796265 472.1817
0.820 0.810 27.720642 20.812988 456.34613 16.769043 56.796265 472.1817
0.842 0.830 27.516174 20.503235 455.896 16.769043 56.796265 472.1817
0.866 0.850 27.386475 20.63446 455.76782 16.769043 56.796265 472.1817
0.881 0.870 27.281189 20.318604 456.07758 16.769043 56.796265 472.1817
0.902 0.890 26.489258 19.613647 456.5628 16.769043 56.796265 472.1817
0.921 0.910 26.05133 19.302368 456.7459 16.769043 56.796265 472.1817
0.943 0.931 26.698303 19.517517 455.9021 16.769043 56.796265 472.1817
0.962 0.951 27.479553 19.421387 455.65186 16.769043 56.796265 472.1817
0.982 0.971 27.720642 19.302368 455.76782 16.769043 56.796265 472.1817
1.002 0.991 27.941895 18.859863 454.90112 16.769043 56.796265 472.1817
1.023 1.011 27.06604 19.841003 455.00183 16.769043 56.796265 472.1817
1.042 1.031 26.551819 20.46814 455.27954 16.769043 56.796265 472.1817
1.062 1.051 27.688599 20.013428 456.16913 16.769043 56.796265 472.1817
1.083 1.072 28.671265 19.578552 455.92346 16.769043 56.796265 472.1817
1.102 1.092 28.889465 19.470215 455.60455 16.769043 56.796265 472.1817
1.122 1.112 28.305054 20.050049 455.719 16.769043 56.796265 472.1817
1.143 1.132 27.24762 20.41626 456.10504 16.769043 56.796265 472.1817
1.162 1.152 26.885986 20.46814 456.2561 16.769043 56.796265 472.1817
1.182 1.172 27.482605 19.395447 456.60706 16.769043 56.796265 472.1817
1.202 1.192 28.427124 20.144653 456.5155 16.769043 56.796265 472.1817
1.221 1.213 28.723145 20.63446 456.41937 16.769043 56.796265 472.1817
1.244 1.233 27.502441 20.39032 455.7068 16.769043 56.796265 472.1817
1.263 1.253 26.57013 19.580078 456.61926 16.769043 56.796265 472.1817
1.283 1.273 26.385498 19.302368 457.07092 16.769043 56.796265 472.1817
1.301 1.293 27.632141 20.54596 455.8548 16.769043 56.796265 472.1817
1.323 1.313 27.684021 20.352173 455.32227 16.769043 56.796265 472.1817
1.341 1.333 27.554321 20.135498 455.27954 16.769043 56.796265 472.1817
1.361 1.354 27.68097 19.244385 455.40466 16.769043 56.796265 472.1817
1.382 1.374 26.712036 19.47174 455.93567 16.769043 56.796265 472.1817
1.402 1.394 26.385498 19.636536 456.09436 16.769043 56.796265 472.1817
1.423 1.414 27.427673 19.636536 455.58624 16.769043 56.796265 472.1817
1.442 1.434 26.560974 20.277405 454.81567 16.769043 56.796265 472.1817
1.462 1.454 26.217651 20.46814 454.628 16.769043 56.796265 472.1817
1.481 1.474 27.017212 19.935608 456.4499 16.769043 56.796265 472.1817
1.502 1.495 26.956177 19.802856 455.11475 16.769043 56.796265 472.1817
1.524 1.515 26.885986 19.802856 454.628 16.769043 56.796265 472.1817
1.543 1.535 26.612854 20.344543 456.22253 16.769043 56.796265 472.1817
1.562 1.555 27.088928 19.93103 455.2704 16.769043 56.796265 472.1817
1.582 1.575 27.220154 19.802856 454.953 16.769043 56.796265 472.1817
1.602 1.595 28.051758 20.631409 454.953 16.769043 56.796265 472.1817
1.622 1.615 26.573181 19.979858 455.4886 16.769043 56.796265 472.1817
1.642 1.636 26.217651 19.802856 455.60455 16.769043 56.796265 472.1817
1.662 1.656 27.067566 20.085144 456.71234 16.769043 56.796265 472.1817
1.682 1.676 26.519775 19.715881 455.67932 16.769043 56.796265 472.1817
1.702 1.696 26.385498 19.636536 455.4428 16.769043 56.796265 472.1817
1.722 1.716 26.96228 18.769836 455.4428 16.769043 56.796265 472.1817
1.742 1.736 27.052307 19.206238 454.88586 16.769043 56.796265 472.1817
1.762 1.756 27.052307 19.302368 454.79126 16.769043 56.796265 472.1817
1.782 1.777 28.8208 19.302368 455.07813 16.769043 56.796265 472.1817
1.802 1.797 28.327942 20.02716 454.97437 16.769043 56.796265 472.1817
1.822 1.817 28.22113 20.135498 454.953 16.769043 56.796265 472.1817
1.842 1.837 27.920532 20.135498 454.66156 16.769043 56.796265 472.1817
1.862 1.857 27.145386 19.987488 454.77448 16.769043 56.796265 472.1817
1.886 1.877 27.052307 19.969177 454.79126 16.769043 56.796265 472.1817
1.902 1.897 27.664185 20.579529 455.98755 16.769043 56.796265 472.1817
1.922 1.918 27.720642 18.824768 455.50537 16.769043 56.796265 472.1817
1.943 1.938 27.720642 18.637085 455.4428 16.769043 56.796265 472.1817
1.962 1.958 28.031921 19.570923 454.53033 16.769043 56.796265 472.1817
1.984 1.978 28.977966 19.02008 453.56445 16.769043 56.796265 472.1817
2.002 1.998 29.057312 18.969727 453.48816 16.769043 56.796265 472.1817
2.023 2.018 27.626038 20.077515 453.95355 16.769043 56.796265 472.1817
2.042 2.038 28.651428 18.728638 454.43573 16.769043 56.796265 472.1817
2.062 2.059 28.723145 18.637085 454.46472 16.769043 56.796265 472.1817
2.083 2.079 27.105713 20.570374 454.7821 16.769043 56.796265 472.1817
2.103 2.099 26.89209 20.793152 454.32434 16.769043 56.796265 472.1817
2.125 2.119 26.885986 20.800781 454.30145 16.769043 56.796265 472.1817
2.142 2.139 27.54364 21.12732 455.2658 16.769043 56.796265 472.1817
2.164 2.159 26.416016 20.970154 455.43976 16.769043 56.796265 472.1817
2.186 2.179 26.385498 20.967102 455.4428 16.769043 56.796265 472.1817
2.226 2.199 27.552795 20.135498 455.60303 16.769043 56.796265 472.1817
2.226 2.220 27.223206 20.793152 453.67126 16.769043 56.796265 472.1817
2.264 2.240 27.23236 20.796204 453.68195 16.769043 56.796265 472.1817
2.283 2.260 28.215027 20.503235 455.896 16.769043 56.796265 472.1817
2.302 2.280 27.886963 22.465515 453.97644 16.769043 56.796265 472.1817
2.322 2.300 27.861023 22.389221 454.01154 16.769043 56.796265 472.1817
2.342 2.320 27.052307 20.025635 455.0827 16.769043 56.796265 472.1817
2.363 2.340 27.052307 21.632385 454.1397 16.769043 56.796265 472.1817
2.383 2.361 27.067566 21.647644 454.1565 16.769043 56.796265 472.1817
2.403 2.381 27.368164 21.965027 454.43115 16.769043 56.796265 472.1817
2.423 2.401 27.052307 21.965027 453.81317 16.769043 56.796265 472.1817
2.444 2.421 27.052307 22.006226 453.81317 16.769043 56.796265 472.1817
2.463 2.441 27.075195 22.584534 453.81317 16.769043 56.796265 472.1817
2.483 2.461 27.386475 21.965027 453.81317 16.769043 56.796265 472.1817
2.502 2.481 27.262878 22.087097 453.7735 16.769043 56.796265 472.1817
2.524 2.502 25.926208 23.477173 453.2837 16.769043 56.796265 472.1817
2.547 2.522 26.385498 23.62976 452.8366 16.769043 56.796265 472.1817
2.564 2.542 26.31836 23.530579 452.90222 16.769043 56.796265 472.1817
2.584 2.562 25.871277 22.64862 453.47137 16.769043 56.796265 472.1817
2.603 2.582 27.220154 22.798157 453.3249 16.769043 56.796265 472.1817
2.623 2.602 27.120972 22.816467 453.30658 16.769043 56.796265 472.1817
2.645 2.622 26.405334 22.984314 453.02582 16.769043 56.796265 472.1817
2.663 2.643 26.551819 23.130798 452.0218 16.769043 56.796265 472.1817
2.683 2.663 26.551819 23.130798 452.06604 16.769043 56.796265 472.1817
2.703 2.683 26.641846 23.175049 452.2583 16.769043 56.796265 472.1817
2.724 2.703 27.220154 23.46344 451.69525 16.769043 56.796265 472.1817
2.746 2.723 27.046204 23.339844 451.86462 16.769043 56.796265 472.1817
2.765 2.743 25.99945 22.631836 452.43988 16.769043 56.796265 472.1817
2.784 2.763 25.717163 22.631836 450.2304 16.769043 56.796265 472.1817
2.805 2.784 25.492859 22.798157 450.4486 16.769043 56.796265 472.1817
2.824 2.804 24.435425 23.684692 451.6449 16.769043 56.796265 472.1817
2.844 2.824 24.71466 23.962402 452.18506 16.769043 56.796265 472.1817
2.863 2.844 24.621582 24.11499 451.85547 16.769043 56.796265 472.1817
2.887 2.864 24.058533 24.3927 450.5432 16.769043 56.796265 472.1817
2.904 2.884 23.379517 22.631836 451.20697 16.769043 56.796265 472.1817
2.926 2.904 23.44513 22.564697 451.01166 16.769043 56.796265 472.1817
2.945 2.925 23.405457 22.332764 450.26398 16.769043 56.796265 472.1817
2.965 2.945 22.210693 22.465515 450.39215 16.769043 56.796265 472.1817
2.985 2.965 22.537231 22.355652 450.35706 16.769043 56.796265 472.1817
3.007 2.985 23.344421 21.965027 450.1587 16.769043 56.796265 472.1817
3.031 3.005 22.042847 21.965027 449.90387 16.769043 56.796265 472.1817
3.045 3.025 22.200012 22.120667 449.59717 16.769043 56.796265 472.1817
3.065 3.045 22.671509 22.592163 448.71674 16.769043 56.796265 472.1817
3.084 3.066 22.543335 22.465515 449.08905 16.769043 56.796265 472.1817
3.104 3.086 22.584534 22.67456 448.96698 16.769043 56.796265 472.1817
3.127 3.106 22.54181 23.21167 448.60077 16.769043 56.796265 472.1817
3.144 3.126 22.042847 22.964478 448.60077 16.769043 56.796265 472.1817
3.169 3.146 22.357178 23.008728 448.55804 16.769043 56.796265 472.1817
3.187 3.166 23.03009 22.950745 448.26202 16.769043 56.796265 472.1817
3.206 3.186 22.543335 22.465515 447.78595 16.769043 56.796265 472.1817
3.232 3.207 22.254944 22.75238 447.59827 16.769043 56.796265 472.1817
3.246 3.227 21.542358 23.272705 447.32056 16.769043 56.796265 472.1817
3.266 3.247 21.542358 22.798157 447.78595 16.769043 56.796265 472.1817
3.285 3.267 21.194458 22.549438 447.35107 16.769043 56.796265 472.1817
3.306 3.287 20.471191 21.965027 446.70715 16.769043 56.796265 472.1817
3.325 3.307 20.707703 21.965027 447.6242 16.769043 56.796265 472.1817
3.345 3.327 20.549011 22.329712 447.47162 16.769043 56.796265 472.1817
3.365 3.348 19.891357 22.401428 447.0337 16.769043 56.796265 472.1817
3.385 3.368 19.204712 20.800781 446.8094 16.769043 56.796265 472.1817
3.411 3.388 19.534302 20.800781 446.4859 16.769043 56.796265 472.1817
3.434 3.408 19.929504 20.855713 445.88623 16.769043 56.796265 472.1817
3.451 3.428 19.371033 20.967102 445.99457 16.769043 56.796265 472.1817
3.473 3.448 19.429016 20.211792 446.05255 16.769043 56.796265 472.1817
3.490 3.468 19.47937 18.629456 445.6482 16.769043 56.796265 472.1817
3.505 3.489 19.371033 18.304443 444.69147 16.769043 56.796265 472.1817
3.525 3.509 18.388367 18.426514 444.45343 16.769043 56.796265 472.1817
3.545 3.529 16.882324 18.209839 444.339 16.769043 56.796265 472.1817
3.568 3.549 17.199707 17.47284 444.85474 16.769043 56.796265 472.1817
3.586 3.569 16.685486 16.960144 444.35425 16.769043 56.796265 472.1817
3.606 3.589 15.544128 15.69519 443.4906 16.769043 56.796265 472.1817
3.625 3.609 15.029907 14.976501 443.38837 16.769043 56.796265 472.1817
3.649 3.630 14.962769 14.64386 443.32428 16.769043 56.796265 472.1817
3.668 3.650 14.729309 13.352966 443.2251 16.769043 56.796265 472.1817
3.689 3.670 14.527893 12.147522 443.2251 16.769043 56.796265 472.1817
3.708 3.690 15.226746 11.868286 442.8177 16.769043 56.796265 472.1817
3.730 3.710 16.12854 10.997009 442.58728 16.769043 56.796265 472.1817
3.747 3.730 16.030884 10.316467 443.06183 16.769043 56.796265 472.1817
3.766 3.750 15.229797 9.663391 444.27032 16.769043 56.796265 472.1817
3.788 3.771 14.337158 8.674622 445.9732 16.769043 56.796265 472.1817
3.807 3.791 14.527893 8.486938 446.15784 16.769043 56.796265 472.1817
3.826 3.811 14.755249 8.1085205 446.3806 16.769043 56.796265 472.1817
3.846 3.831 15.556335 7.2784424 447.16187 16.769043 56.796265 472.1817
3.869 3.851 16.19873 6.8222046 447.78595 16.769043 56.796265 472.1817
3.892 3.871 16.119385 6.428528 448.17047 16.769043 56.796265 472.1817
3.908 3.891 15.953064 5.290222 449.13483 16.769043 56.796265 472.1817
3.925 3.912 15.864563 4.4937134 449.7406 16.769043 56.796265 472.1817
3.955 3.932 16.189575 4.005432 449.58344 16.769043 56.796265 472.1817
3.967 3.952 15.885925 3.9764404 450.04578 16.769043 56.796265 472.1817
3.989 3.972 15.196228 4.4937134 450.7187 16.769043 56.796265 472.1817
4.008 3.992 15.533447 3.4820557 451.54266 16.769043 56.796265 472.1817
4.032 4.012 15.361023 2.9968262 452.02026 16.769043 56.796265 472.1817
4.046 4.032 14.862061 3.4942627 451.69525 16.769043 56.796265 472.1817
4.068 4.053 14.77356 3.4057617 453.14636 16.769043 56.796265 472.1817
4.089 4.073 14.434814 3.7582397 454.3808 16.769043 56.796265 472.1817
4.110 4.093 14.193726 4.159546 454.30145 16.769043 56.796265 472.1817
4.128 4.113 15.007019 3.7094116 454.38995 16.769043 56.796265 472.1817
4.151 4.133 14.710999 2.5238037 454.37775 16.769043 56.796265 472.1817
4.169 4.153 13.861084 1.8310547 454.30145 16.769043 56.796265 472.1817
4.194 4.173 14.605713 2.2018433 454.66614 16.769043 56.796265 472.1817
4.210 4.194 15.936279 2.496338 455.49622 16.769043 56.796265 472.1817
4.227 4.214 16.532898 2.496338 455.9311 16.769043 56.796265 472.1817
4.250 4.234 15.953064 2.3040771 455.9311 16.769043 56.796265 472.1817
4.268 4.254 16.007996 1.3046265 455.4657 16.769043 56.796265 472.1817
4.289 4.274 16.365051 0.6652832 455.11627 16.769043 56.796265 472.1817
4.311 4.294 16.464233 0.76293945 455.98907 16.769043 56.796265 472.1817
