gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.460 0.456 -0.29348755 -1.3694763 -0.6113739
0.481 0.476 -0.26309204 -1.3260651 -0.8868103
0.503 0.496 -0.16033936 -0.76745605 -0.69044495
0.547 0.516 -0.5863495 -0.10058594 -0.39331055
0.547 0.536 -0.832901 0.0925293 -0.55770874
0.565 0.556 -1.134079 0.21728516 -0.8240204
0.580 0.577 -1.4007263 0.28097534 -1.237442
0.600 0.597 -1.489975 0.1353302 -1.5970154
0.620 0.617 -1.2553864 -0.28466797 -1.4533691
0.641 0.637 -0.5873718 -0.092926025 -1.2150879
0.661 0.657 -0.26057434 -0.12742615 -0.9564972
0.681 0.677 -0.23667908 -0.4000244 -0.8033447
0.702 0.697 -0.2939148 -0.7416992 -0.6988373
0.742 0.718 0.024627686 -0.6347351 -0.7659302
0.762 0.738 0.35949707 -0.20010376 -0.955246
0.782 0.758 0.4962921 0.15104675 -0.8849335
0.803 0.778 0.32382202 0.08711243 -0.6832733
0.824 0.798 0.062423706 -0.010787964 -0.6195221
0.843 0.818 -0.2911682 -0.32972717 -0.62290955
0.863 0.838 -0.4794464 -0.650589 -0.45318604
0.882 0.859 -0.54667664 -0.76535034 -0.348114
0.902 0.879 -0.42401123 -0.51712036 -0.31840515
0.924 0.899 -0.2527771 -0.18443298 -0.16127014
0.942 0.919 -0.15612793 -0.09867859 -0.022201538
0.962 0.939 -0.09957886 -0.03892517 0.06452942
0.982 0.959 -0.09651184 -0.05026245 0.052520752
1.002 0.979 -0.096954346 -0.08728027 0.046539307
1.022 1.000 -0.11956787 -0.1468811 -0.023529053
1.043 1.020 -0.17126465 -0.07652283 0.024902344
1.062 1.040 -0.13082886 0.112213135 0.05342102
1.082 1.060 -0.075302124 0.1430664 0.09095764
1.103 1.080 -0.04975891 0.12858582 0.05659485
1.121 1.100 -0.07522583 0.009536743 0.012542725
1.143 1.120 -0.038650513 -0.06576538 -0.020614624
1.162 1.141 -0.037475586 -0.08152771 0.029251099
1.182 1.161 -0.105270386 -0.027786255 0.05822754
1.202 1.181 -0.08282471 -0.01512146 0.07493591
1.222 1.201 0.0289917 -0.032302856 0.0121154785
1.243 1.221 0.048599243 -0.07463074 -0.02746582
1.264 1.241 -0.046417236 -0.01651001 -0.055892944
1.282 1.261 -0.1832428 0.0393219 0.010971069
1.305 1.282 -0.21055603 0.17967224 0.0619812
1.321 1.302 -0.19233704 0.27793884 0.11013794
1.343 1.322 -0.20307922 0.36058044 0.12980652
1.363 1.342 -0.2603302 0.52705383 0.15852356
1.387 1.362 -0.40151978 0.86013794 0.24317932
1.404 1.382 -0.6153717 1.1638336 0.4165039
1.422 1.402 -0.8077698 1.3749542 0.52415466
1.442 1.423 -0.8808899 1.4764404 0.5443115
1.463 1.443 -0.8230133 1.4044647 0.5722046
1.483 1.463 -0.71414185 1.1186829 0.71691895
1.503 1.483 -0.661438 0.80885315 0.85679626
1.523 1.503 -0.72094727 0.6069336 1.0908508
1.545 1.523 -0.87542725 0.5082092 1.3209229
1.563 1.543 -1.1148834 0.45794678 1.5059052
1.583 1.564 -1.3376465 0.16615295 1.6315002
1.604 1.584 -1.4591064 -0.24583435 1.7456818
1.623 1.604 -1.5784454 -0.3731842 1.7716064
1.644 1.624 -1.9348145 -0.60717773 2.031189
1.663 1.644 -2.1467133 -1.5740814 2.45549
1.684 1.664 -1.8104248 -2.3157043 2.4656372
1.704 1.684 -1.2140656 -2.2557983 2.1386108
1.722 1.705 -0.9868469 -1.8960571 2.0855255
1.744 1.725 -1.4420319 -1.5896454 2.5102234
1.767 1.745 -1.8053284 -2.2204132 2.4339752
1.784 1.765 -1.6515656 -2.6738892 1.8508301
1.804 1.785 -1.2973633 -1.8014984 1.3433533
1.823 1.805 -0.91352844 -0.50177 1.1015472
1.843 1.825 -0.42129517 0.26339722 0.86180115
1.863 1.846 -0.11773682 0.13580322 0.65760803
1.883 1.866 -0.24890137 -0.8150177 0.69454956
1.904 1.886 -0.6309967 -2.0003052 0.78874207
1.925 1.906 -1.1421356 -2.9586792 0.7969513
1.946 1.926 -0.42703247 -0.78796387 -0.0042266846
1.963 1.946 1.6719208 3.2575378 -1.274353
1.983 1.966 0.8240967 0.36662292 -0.23806763
2.003 1.987 0.6451416 -0.48786926 0.048171997
2.024 2.007 1.3447266 2.1673126 -0.43017578
2.046 2.027 0.24621582 1.7658081 0.322464
2.064 2.047 0.36331177 -0.10592651 0.3056488
2.083 2.067 1.1907654 0.95277405 -0.30111694
2.103 2.087 0.5602875 1.0357666 0.037994385
2.123 2.107 -0.44866943 -0.3524933 0.49290466
2.154 2.128 -0.17012024 0.2611847 0.33563232
2.163 2.148 0.52090454 2.1993256 0.14225769
2.183 2.168 0.17810059 3.75531 0.5736084
2.204 2.188 -0.005554199 4.5632935 0.8147888
2.231 2.208 -0.03125 6.229141 0.74801636
2.244 2.228 -0.87635803 5.116379 0.4582367
2.265 2.248 -1.1835327 1.1286774 0.27749634
2.285 2.269 0.8049927 -1.2751312 0.44010925
2.307 2.289 1.5626984 -1.6849823 0.38497925
2.323 2.309 -0.33854675 0.07476807 0.08470154
2.344 2.329 -0.8164978 1.2524567 -0.008010864
2.365 2.349 0.26765442 -0.5758667 -0.059646606
2.383 2.369 0.22624207 -1.4702606 -0.047973633
2.406 2.389 -0.1459198 0.8009033 -0.005645752
2.423 2.409 -0.28053284 0.43421936 0.0022888184
2.444 2.430 0.1954956 -0.6009369 0.009918213
2.464 2.450 0.0033569336 0.18157959 0.0040740967
2.483 2.470 -0.135849 0.19918823 0.0059051514
2.504 2.490 0.095840454 -0.22972107 0.010360718
2.525 2.510 -0.008743286 0.060058594 0.006088257
2.544 2.530 -0.039382935 0.059539795 0.005004883
2.565 2.550 0.027359009 -0.08255005 0.006591797
2.584 2.571 -0.014694214 0.043060303 0.005508423
2.604 2.591 -0.003829956 -0.0020141602 0.006134033
2.624 2.611 0.001449585 -0.012176514 0.0059814453
2.643 2.631 -0.0076141357 0.014373779 0.0038909912
2.664 2.651 2.746582E-4 -0.005126953 0.0045318604
2.684 2.671 -0.004776001 0.006881714 0.0061035156
2.708 2.691 -0.0017700195 -0.0037384033 0.006591797
2.723 2.712 -0.0040893555 0.0034942627 0.006591797
2.744 2.732 -0.004425049 -0.0019226074 0.0048065186
2.765 2.752 -0.0055389404 0.0028686523 0.0045928955
2.783 2.772 -0.0044403076 2.1362305E-4 0.004928589
2.807 2.792 -0.006149292 -0.009109497 0.0044555664
2.825 2.812 -0.011749268 0.0051727295 0.0044555664
2.845 2.832 -0.004043579 -0.0018920898 0.0032043457
2.867 2.853 -0.002746582 0.002960205 0.0016937256
2.890 2.873 -0.0045166016 0.0052948 0.0018920898
2.906 2.893 -0.0017242432 -0.0011444092 0.004257202
2.924 2.913 -0.0017547607 0.0032043457 0.0042266846
2.944 2.933 -0.0012664795 -1.5258789E-5 0.004058838
2.966 2.953 -0.0030975342 -0.004119873 0.0031433105
2.985 2.973 -0.0060577393 0.004547119 0.004333496
3.006 2.994 -0.004837036 -0.0037231445 0.004180908
3.024 3.014 -0.004333496 0.007446289 0.002029419
3.045 3.034 -0.002670288 0.010070801 0.0012512207
